book_title,rag_type,question,true_answer,model_context,model_answer,answer_relevancy_success,contextual_recall_success,faithfulness_success
Преступление и наказание,vanilla,Как Раскольников объясняет причину своей болезни?,"Раскольников объясняет свою болезнь тем, что накануне он находился в бреду и наткнулся на тело раздавленного лошадьми чиновника, из-за чего испачкался кровью.","за посетителями и стала слушать.
Действительно, Раскольников был почти здоров, особенно в сравнении во вчерашним, только был
очень бледен, рассеян и угрюм. Снаружи он походил как бы на раненого человека или
вытерпливающего какую-нибудь сильную физическую боль: брови его были сдвинуты, губы сжаты,
взгляд воспаленный. Говорил он мало и неохотно, как бы через силу или исполняя обязанность, и
какое-то беспокойство изредка появлялось в его движениях.
Недоставало какой-нибудь повязки на руке или чехла из тафты на пальце для полного сходства с
человеком, у которого, например, очень больно нарывает палец, или ушиблена рука, или что-нибудь в
этом роде.
Впрочем, и это бледное и угрюмое лицо озарилось на мгновение как бы светом, когда вошли мать и
сестра, но это прибавило только к выражению его, вместо прежней тоскливой рассеянности, как бы
более сосредоточенной муки.
Свет померк скоро, но мука осталась, и Зосимов, наблюдавший и изучавший своего пациента со всем

---

Раскольникова.  — Да садись же, устал небось!
—  и когда тот повалился на клеенчатый турецкий диван, который был еще хуже его собственного,
Разумихин разглядел вдруг, что гость его болен.
—  Да ты серьезно болен, знаешь ты это?  — Он стал щупать его пульс;
Раскольников вырвал руку.
—  Не надо,  — сказал он,  — я пришел… вот что: у меня уроков никаких… я хотел было… впрочем, мне
совсем не надо уроков…
—  А знаешь что? Ведь ты бредишь!  — заметил наблюдавший его пристально Разумихин.
—  Нет, не брежу…  — Раскольников встал с дивана. Подымаясь к Разумихину, он не подумал о том,
что с ним, стало быть, лицом к лицу сойтись должен. Теперь же, в одно мгновение, догадался он, уже
на опыте, что всего менее расположен, в эту минуту, сходиться лицом к лицу с кем бы то ни было в
целом свете. Вся желчь поднялась в нем. Он чуть не захлебнулся от злобы на себя самого, только что
переступил порог Разумихина.
—  Прощай!  — сказал он вдруг и пошел к двери.
—  Да ты постой, постой, чудак!

---

сегодня известие, что они выезжают, едут, сейчас прибудут? Все эти полтора часа они наперебив
расспрашивали Настасью, стоявшую и теперь перед ними и уже успевшую рассказать им всю
подноготную.
Они себя не помнили от испуга, когда услышали, что он «сегодня сбежал», больной и, как видно из
рассказа, непременно в бреду! «Боже, что с ним!»
Обе плакали, обе вынесли крестную муку в эти полтора часа ожидания.
Радостный, восторженный крик встретил появление Раскольникова. Обе бросились к нему. Но он
стоял как мертвый; невыносимое внезапное сознание ударило в него как громом. Да и руки его не
поднимались обнять их: не могли. Мать и сестра сжимали его в объятиях, целовали его, смеялись
плакали… Он ступил шаг, покачнулся и рухнулся на пол в обмороке.
Тревога, крики ужаса, стоны… Разумихин, стоявший на пороге, влетел в комнату, схватил больного в
свои мощные руки, и тот мигом очутился на диване.
—  Ничего, ничего!  — кричал он матери и сестре,  — это обморок, это дрянь! Сейчас только доктор

---

такое соблазнительное. Тоже и колокольчики-с… Болезнь, Родион Романович, болезнь! Болезнию
своей пренебрегать слишком начали-с. Посоветовались бы вы с опытным медиком, а то что у вас этот
толстый-то!.. Бред у вас! Это все у вас просто в бреду одном делается!..
На мгновение все так и завертелось кругом Раскольникова.
«Неужели, неужели,  — мелькало в нем,  — он лжет и теперь? Невозможно, невозможно!» —
отталкивал он от себя эту мысль, чувствуя заранее, до какой степени бешенства и ярости может она
довести его, чувствуя, что от бешенства с ума сойти может.
—  Это было не в бреду, это было наяву!  — вскричал он, напрягая все силы своего рассудка
проникнуть в игру Порфирия.  — Наяву, наяву! Слышите ли?
—  Да, понимаю и слышу-с! Вы и вчера говорили, что не в бреду, особенно даже напирали, что не в
бреду! Все, что вы можете сказать, понимаю-с!

---

умерший, ученый серьезный, вообразил, что так можно лечить. Основная идея его, что особенного
расстройства в организме у сумасшедших нет, а что сумасшествие есть, так сказать, логическая
ошибка, ошибка в суждении, не правильный взгляд на вещи. Он постепенно опровергал больного и,
представьте себе, достигал, говорят, результатов! Но так как при этом он употреблял и души, то
результаты этого лечения подвергаются, конечно, сомнению… По крайней мере, так кажется…
Раскольников давно уже не слушал. Поравнявшись с своим домом, он кивнул головой Лебезятникову и
повернул в подворотню. Лебезятников очнулся, огляделся и побежал далее.
Раскольников вошел в свою каморку и стал посреди ее. «Для чего он воротился сюда?» Он оглядел эти
желтоватые, обшарканные обои, эту пыль, свою кушетку… Со двора доносился какой-то резкий,
беспрерывный стук; что-то где-то как будто вколачивали, гвоздь какой-нибудь… Он подошел к окну,

---

обращением. Но не бритой головы и кандалов он стыдился: его гордость сильно была уязвлена; он и
заболел от уязвленной гордости. О, как бы счастлив он был, если бы мог сам обвинить себя! Он бы
снес тогда все, даже стыд и позор. Но он строго судил себя, и ожесточенная совесть его не нашла
никакой особенно ужасной вины в его прошедшем, кроме разве простого промаху, который со всяким
мог случиться. Он стыдился именно того, что он, Раскольников, погиб так слепо, безнадежно, глухо и
глупо, по какому-то приговору слепой судьбы, и должен смириться и покориться пред «бессмыслицей»

---

квартальные поручики, то и тогда ему совершенно незачем было бы обращаться к ним и даже ни в
каком случае жизни; он никогда еще до сей минуты не испытывал подобного странного и ужасного
ощущения. И что всего мучительнее — это было более ощущение, чем сознание, чем понятие;
непосредственное ощущение, мучительнейшее ощущение из всех до сих пор жизнию пережитых им
ощущений.
Письмоводитель стал диктовать ему форму обыкновенного в таком случае отзыва, то есть заплатить не
могу, обещаюсь тогда-то (когда-нибудь), из города не выеду, имущество ни продавать, ни дарить не
буду и проч.
—  Да вы писать не можете, у вас перо из рук валится,  — заметил письмоводитель, с любопытством
вглядываясь в Раскольникова.  — Вы больны?

---

—  А вчера со двора выходили?
—  Выходил.
—  Больной?
—  Больной.
—  В котором часу?
—  В восьмом часу вечера.
—  А куда, позвольте спросить?
—  По улице.
—  Коротко и ясно.
Раскольников отвечал резко, отрывисто, весь бледный как платок и не опуская черных воспаленных
глаз своих перед взглядом Ильи Петровича.
—  Он едва на ногах стоит, а ты…  — заметил было Никодим Фомич.
—  Ни-че-го!  — как-то особенно проговорил Илья Петрович.
Никодим Фомич хотел было еще что-то присовокупить, но, взглянув на письмоводителя, который тоже
очень пристально смотрел на него, замолчал.
Все вдруг замолчали. Странно было.
—  Ну-с, хорошо-с,  — заключил Илья Петрович,  — мы вас не задерживаем.
Раскольников вышел. Он еще мог расслышать, как по выходе его начался оживленный разговор, в
котором слышнее всех отдавался вопросительный голос Никодима Фомича… На улице он совсем
очнулся.
«Обыск, обыск, сейчас обыск!  — повторял он про себя, торопясь дойти;  — разбойники! подозревают!»

---

Кашляю-с, першить начало, и одышка. Я, знаете, труслив-с, поехал намедни к Б-ну,  — каждого
больного minimum по получасу осматривает; так даже рассмеялся, на меня глядя: и стукал, и слушал, 
— вам, говорит, между прочим, табак не годится; легкие расширены. Ну, а как я его брошу? Чем
заменю? Не пью-с, вот вся и беда, хе-хе-хе, что не пью-то, беда! Все ведь относительно, Родион
Романыч, все относительно!
«Что же это он, за свою прежнюю казенщину принимается, что ли!» — с отвращением подумалось
Раскольникову. Вся недавняя сцена последнего их свидания внезапно ему припомнилась, и тогдашнее
чувство волною прихлынуло к его сердцу.
—  А ведь я к вам уже заходил третьего дня вечером; вы и не знаете?  — продолжал Порфирий
Петрович, осматривая комнату,  — в комнату, в эту самую, входил. Тоже, как и сегодня, прохожу мимо
— дай, думаю, визитик-то ему отдам. Зашел, а комната настежь; осмотрелся, подождал, да и служанке
вашей не доложился — вышел. Не запираете?

---

нигде не видал этих людей, никто не слыхал их слова и голоса.
Раскольникова мучило то, что этот бессмысленный бред так грустно и так мучительно отзывается в
его воспоминаниях, что так долго не проходит впечатление этих горячешных грез. Шла уже вторая
неделя после Святой; стояли теплые, ясные, весенние дни; в арестантской палате отворили окна
(решетчатые, под которыми ходил часовой). Соня, во все время болезни его, могла только два раза его
навестить в палате; каждый раз надо было испрашивать разрешения, а это было трудно. Но она часто
приходила на госпитальный двор, под окна, особенно под вечер, а иногда так только, чтобы постоять
на дворе минутку и хоть издали посмотреть на окна палаты. Однажды, под вечер, уже совсем почти
выздоровевший Раскольников заснул; проснувшись, он нечаянно подошел к окну и вдруг увидел
вдали, у госпитальных ворот, Соню. Она стояла и как бы чего-то ждала. Что-то как бы пронзило в ту","В представленных фрагментах Раскольников не объясняет причину своей болезни прямо. Однако упоминается, что он испытывает сильные эмоциональные переживания и стресс, которые могут влиять на его физическое состояние.",True,True,True
Преступление и наказание,vanilla,Почему Раскольников не хочет подписывать расписку при получении денег?,"Раскольников отказывается подписывать расписку, потому что он в состоянии душевного смятения и не желает формальностей; он говорит, что ему не нужны деньги, хотя на самом деле это проявление его внутреннего конфликта.","—  Не надо,  — сказал Раскольников, отстраняя перо.
—  Чего это не надо?
—  Не стану подписывать.
—  Фу, черт, да как же без расписки-то?
—  Не надо… денег…
—  Это денег-то не надо! Ну, это, брат, врешь, я свидетель! Не беспокойтесь, пожалуйста, это он
только так… опять вояжирует. С ним, впрочем, это и наяву бывает… Вы человек рассудительный, и мы
будем его руководить, то есть попросту его руку водить, он и подпишет.
Приподнимайтесь-ка…
—  А впрочем, я и в другой раз зайду-с.
—  Нет, нет; зачем же вам беспокоиться. Вы человек рассудительный…
Ну, Родя, не задерживай гостя… видишь, ждет,  — и он серьезно приготовился водить рукой

---

квартальные поручики, то и тогда ему совершенно незачем было бы обращаться к ним и даже ни в
каком случае жизни; он никогда еще до сей минуты не испытывал подобного странного и ужасного
ощущения. И что всего мучительнее — это было более ощущение, чем сознание, чем понятие;
непосредственное ощущение, мучительнейшее ощущение из всех до сих пор жизнию пережитых им
ощущений.
Письмоводитель стал диктовать ему форму обыкновенного в таком случае отзыва, то есть заплатить не
могу, обещаюсь тогда-то (когда-нибудь), из города не выеду, имущество ни продавать, ни дарить не
буду и проч.
—  Да вы писать не можете, у вас перо из рук валится,  — заметил письмоводитель, с любопытством
вглядываясь в Раскольникова.  — Вы больны?

---

ее тогда в газету «Еженедельная речь», а не в «Периодическую».
—  А попала в «Периодическую».
—  Да ведь «Еженедельная речь» перестала существовать, потому тогда и не напечатали…
—  Это правда-с; но, переставая существовать, «Еженедельная речь» соединилась с «Периодическою
речью», а потому и статейка ваша, два месяца назад, явилась в «Периодической речи». А вы не знали?
Раскольников действительно ничего не знал.
—  Помилуйте, да вы деньги можете с них спросить за статью! Какой, однако ж, у вас характер!
Живете так уединенно, что таких вещей, до вас прямо касающихся, не ведаете. Это ведь факт-с.
—  Браво, Родька! И я тоже не знал!  — вскричал Разумихин.  — Сегодня же в читальню забегу и
нумер спрошу! Два месяца назад? Которого числа? Все равно разыщу! Вот штука-то! И не скажет!
—  А вы почему узнали, что статья моя? Она буквой подписана.
—  А случайно, и то на днях. Через редактора; я знаком… Весьма заинтересовался.

---

стало быть, всем нам манкируете.  — Проговорив это, Раскольников почувствовал невыразимое
наслаждение.
Письмоводитель с улыбкой смотрел на них. Горячий поручик был видимо озадачен.
—  Это не ваше дело-с!  — прокричал он наконец как-то неестественно громко,  — а вот извольте-ка
подать отзыв, который с вас требуют. Покажите ему, Александр Григорьевич. Жалобы на вас! Денег
не платите! Ишь какой вылетел сокол ясный!
Но Раскольников уже не слушал и жадно схватился за бумагу, ища поскорей разгадки. Прочел раз,
другой, и не понял.
—  Это что же?  — спросил он письмоводителя.
—  Это деньги с вас по заемному письму требуют, взыскание. Вы должны или уплатить со всеми
издержками, ценными и прочими, или дать письменно отзыв, когда можете уплатить, а вместе с тем и
обязательство не выезжать до уплаты из столицы и не продавать и не скрывать своего имущества. А
заимодавец волен продать ваше имущество, а с вами поступить по законам.
—  Да я… никому не должен!

---

прямо на твой пай и придутся. А кончишь лист — еще три целковых получишь. Да вот что еще,
пожалуйста, за услугу какую-нибудь не считай с моей стороны. Напротив, только что ты вошел, я уж и
рассчитал, чем ты мне будешь полезен.
Во-первых, я в орфографии плох, а во-вторых, в немецком иногда просто швах, так что все больше от
себя сочиняю и только тем и утешаюсь, что от этого еще лучше выходит. Ну а кто его знает, может
быть, оно и не лучше, а хуже выходит… Берешь или нет?
Раскольников молча взял немецкие листки статьи, взял три рубля и, не сказав ни слова, вышел.
Разумихин с удивлением поглядел ему вслед. Но дойдя уже до первой линии, Раскольников вдруг
воротился, поднялся опять к Разумихину и, положив на стол и немецкие листы, и три рубля, опять-
таки ни слова не говоря, пошел вон.
—  Да у тебя белая горячка, что ль!  — заревел взбесившийся наконец Разумихин.  — Чего ты комедии-
то разыгрываешь! Даже меня сбил с толку…
Зачем же ты приходил после этого, черт?

---

Раскольникова.
—  Оставь, я сам…  — проговорил тот, взял перо и расписался в книге.
Артельщик выложил деньги и удалился.
—  Браво! А теперь, брат, хочешь есть?
—  Хочу,  — отвечал Раскольников.
—  У вас суп?
—  Вчерашний,  — отвечала Настасья, все это время стоявшая тут же.
—  С картофелем и с рисовой крупой?
—  С картофелем и крупой.
—  Наизусть знаю. Тащи суп, да и чаю давай.
—  Принесу.
Раскольников смотрел на все с глубоким удивлением и с тупым бессмысленным страхом. Он решился
молчать и ждать: что будет дальше?
«Кажется, я не в бреду,  — думал он,  — кажется, это в самом деле…»
Через две минуты Настасья воротилась с супом и объявила, что сейчас и чай будет. К супу явились
две ложки, две тарелки и весь прибор: солонка, перечница, горчица для говядины и прочее, чего
прежде, в таком порядке, уже давно не бывало. Скатерть была чистая.
—  Не худо, Настасьюшка, чтобы Прасковья Павловна бутылочки две пивца откомандировала. Мы
выпьем-с.

---

ему, как узнал это все, так, для очистки совести, тоже струю пустить, да на ту пору у нас с Пашенькой
гармония вышла, я и повелел это дело все прекратить, в самом то есть источнике, поручившись, что
ты заплатишь. Я, брат, за тебя поручился, слышишь? Позвали Чебарова, десять целковых ему в зубы, а
бумагу назад, и вот честь имею ее вам представить,  — на слово вам теперь верят,  — вот, возьмите, и
надорвана мною как следует.
Разумихин выложил на стол заемное письмо; Раскольников взглянул на него и, не сказав ни слова,

---

—  Да… голова кругом… говорите дальше!
—  Да все; подпишитесь.
Письмоводитель отобрал бумагу и занялся с другими.
Раскольников отдал перо, но вместо того чтоб встать и уйти, положил оба локтя на стол и стиснул
руками голову. Точно гвоздь ему вбивали в темя.
Странная мысль пришла ему вдруг: встать сейчас, подойти к Никодиму Фомичу и рассказать ему все
вчерашнее, все до последней подробности, затем пойти вместе с ними на квартиру и указать им вещи,
в углу, в дыре. Позыв был до того силен, что он уже встал с места, для исполнения. «Не обдумать ли
хоть минуту?  — пронеслось в его голове.  — Нет, лучше и не думая, и с плеч долой!» Но вдруг он
остановился как вкопанный: Никодим Фомич говорил с жаром Илье Петровичу, и до него долетели
слова:
—  Быть не может, обоих освободят! Во-первых, все противоречит; судите: зачем им дворника звать,
если б это их дело? На себя доносить, что ли? Аль для хитрости? Нет, уж было бы слишком хитро! И,

---

теория, да еще моя-с, а я вам что за авторитет? Я, может быть, и сам от вас кой-что даже и теперь
скрываю-с. Не все же мне вам так взять да и выложить, хе-хе! Второе дело: как какая выгода? Да
известно ли вам, какая вам за это воспоследует сбавка? Ведь вы когда явитесь-то, в какую минуту? Вы
это только рассудите! Когда другой уже на себя преступление принял и все дело спутал? А я вам, вот
самим богом клянусь, так «там» подделаю и устрою, что ваша явка выйдет как будто совсем
неожиданная. Всю эту психологию мы совсем уничтожим, все подозрения на вас в ничто обращу, так
что ваше преступление вроде помрачения какого-то представится, потому, по совести, оно
помрачение и есть. Я честный человек, Родион Романыч, и свое слово сдержу.
Раскольников грустно замолчал и поник головой; он долго думал и наконец опять усмехнулся, но
улыбка его была уже кроткая и грустная:
—  Эх, не надо!  — проговорил он, как бы уже совсем не скрываясь с Порфирием.  — Не стоит! Не надо
мне совсем вашей сбавки!

---

никогда, никогда, в свою очередь,  — это ее собственные слова были,  — она не воспользуется этой
бумагой, покамест я сам заплачу… И вот теперь, когда я и уроки потерял и мне есть нечего, она и
подает ко взысканию… Что ж я теперь скажу?
—  Все эти чувствительные подробности, милостисдарь, до нас не касаются,  — нагло отрезал Илья
Петрович,  — вы должны дать отзыв и обязательство, а что вы там изволили быть влюблены и все эти
трагические места, до этого нам совсем дела нет.
—  Ну уж ты… жестоко…  — пробормотал Никодим Фомич, усаживаясь к столу и тоже принимаясь
подписывать. Ему как-то стыдно стало.
—  Пишите же,  — сказал письмоводитель Раскольникову.
—  Что писать?  — спросил тот как-то особенно грубо.
—  А я вам продиктую.
Раскольникову показалось, что письмоводитель стал с ним небрежнее и презрительнее после его
исповеди, но, странное дело,  — ему вдруг стало самому решительно все равно до чьего бы то ни было","В представленных фрагментах нет прямого объяснения, почему Раскольников не хочет подписывать расписку при получении денег. Однако можно предположить, что это связано с его внутренним состоянием и испытываемыми им противоречиями.",True,True,True
Преступление и наказание,vanilla,Какое отношение у Лужина к Раскольникову?,"Лужин считает, что Раскольников искажает его слова и обижает его. Он воспринимает Раскольникова как помеху в своих планах жениться на Дуне и относится к нему с недоверием и враждебностью.","его сердца. Теперь он имеет право отдать им всю свою жизнь, служить им… Да мало ли что теперь! А
впрочем, он еще пугливее гнал дальнейшие мысли и боялся своего воображения. Один только
Раскольников сидел все на том же месте, почти угрюмый и даже рассеянный.
Он, всего больше настаивавший на удалении Лужина, как будто всех меньше интересовался теперь
случившимся. Дуня невольно подумала, что он все еще очень на нее сердится, а Пульхерия
Александровна приглядывалась к нему боязливо.
—  Что же сказал тебе Свидригайлов?  — подошла к нему Дуня.
—  Ах да, да!  — вскричала Пульхерия Александровна.
Раскольников поднял голову:

---

вами. Я хочу и могу узнать теперь наверно: брат ли он мне? А про вас: дорога ли я вам, цените ли вы
меня: муж ли вы мне?
—  Авдотья Романовна,  — закоробившись, произнес Лужин,  — ваши слова слишком
многозначительны для меня, скажу более, даже обидны, ввиду того положения, которое я имею честь
занимать в отношении к вам. Не говоря уже ни слова об обидном и странном сопоставлении, на одну
доску, между мной и… заносчивым юношей, словами вашими вы допускаете возможность нарушения
данного мне обещания. Вы говорите: «или вы, или он?», стало быть, тем самым показываете мне, как
немного я для вас значу… я не могу допустить этого при отношениях и… обязательствах,
существующих между нами.
—  Как!  — вспыхнула Дуня,  — я ставлю ваш интерес рядом со всем, что до сих пор было мне
драгоценно в жизни, что до сих пор составляло всю мою жизнь, и вдруг вы обижаетесь за то, что я
даю вам мало цены!
Раскольников молча и язвительно улыбнулся, Разумихина всего передернуло; но Петр Петрович не

---

Он дивился себе. Разумихин был один из его прежних товарищей по университету. Замечательно, что
Раскольников, быв в университете, почти не имел товарищей, всех чуждался, ни к кому не ходил и у
себя принимал тяжело.
Впрочем, и от него скоро все отвернулись. Ни в общих сходках, ни в разговорах, ни в забавах, ни в чем
он как-то не принимал участия. Занимался он усиленно, не жалея себя, и за это его уважали, но никто
не любил. Был он очень беден и как-то надменно горд и несообщителен; как будто что-то таил про
себя. Иным товарищам его казалось, что он смотрит на них на всех, как на детей, свысока, как будто
он всех их опередил и развитием, и знанием, и убеждениями, и что на их убеждения и интересы он
смотрит как на что-то низшее.
С Разумихиным же он почему-то сошелся, то есть не то что сошелся, а был с ним сообщительнее,
откровеннее. Впрочем, с Разумихиным невозможно было и быть в других отношениях. Это был

---

отчасти и потому, что этот оборванец и нахал успел-таки отрекомендоваться студентом.
—  Ваша мамаша…  — начал Лужин.
—  Гм!  — громко сделал Разумихин. Лужин посмотрел на него вопросительно.
—  Ничего, я так; ступайте…
Лужин пожал плечами.
—  … Ваша мамаша, еще в бытность мою при них, начала к вам письмо.
Приехав сюда, я нарочно пропустил несколько дней и не приходил к вам, чтоб уж быть вполне
уверенным, что вы извещены обо всем; но теперь, к удивлению моему…
—  Знаю, знаю!  — проговорил вдруг Раскольников, с выражением самой нетерпеливой досады.  — Это
вы? Жених? Ну, знаю!.. и довольно!
Петр Петрович решительно обиделся, но смолчал. Он усиленно спешил сообразить, что все это
значит? С минуту продолжалось молчание.
Между тем Раскольников, слегка было оборотившийся к нему при ответе, принялся вдруг его снова
рассматривать пристально и с каким-то особенным любопытством, как будто давеча еще не успел его

---

операцию или выпустили его сейчас из-под пытки. Но вошедший господин мало-помалу стал
возбуждать в нем все больше и больше внимания, потом недоумения, потом недоверчивости и даже
как будто боязни. Когда же Зосимов, указав на него, проговорил: «вот Раскольников», он вдруг,
быстро приподнявшись, точно привскочив, сел на постели и почти вызывающим, но прерывистым и
слабым голосом произнес:
—  Да! Я Раскольников! Что вам надо?
Гость внимательно посмотрел и внушительно произнес:
—  Петр Петрович Лужин. Я в полной надежде, что имя мое не совсем уже вам безызвестно.
Но Раскольников, ожидавший чего-то совсем другого, тупо и задумчиво посмотрел на него и ничего не
ответил, как будто имя Петра Петровича слышал он решительно в первый раз.
—  Как? Неужели вы до сих пор не изволили еще получить никаких известий?  — спросил Петр
Петрович, несколько коробясь.
В ответ на это Раскольников медленно опустился на подушку, закинул руки за голову и стал смотреть
в потолок. Тоска проглянула в лице Лужина.

---

—  А, так вот оно что-с!  — Лужин побледнел и закусил губу.  — Слушайте, сударь, меня,  — начал он с
расстановкой и сдерживая себя всеми силами, но все-таки задыхаясь,  — я еще давеча, с первого
шагу, разгадал вашу неприязнь, но нарочно оставался здесь, чтоб узнать еще более. Многое я бы мог
простить больному и родственнику, но теперь… вам… никогда-с…
—  Я не болен!  — вскричал Раскольников.
—  Тем паче-с…
—  Убирайтесь к черту!
Но Лужин уже выходил сам, не докончив речи, пролезая снова между столом и стулом; Разумихин на
этот раз встал, чтобы пропустить его. Не глядя ни на кого и даже не кивнув головой Зосимову,
который давно уже кивал ему, чтоб он оставил в покое больного, Лужин вышел, приподняв из
осторожности рядом с плечом свою шляпу, когда, принагнувшись, проходил в дверь. И даже в изгибе
спины его как бы выражалось при этом случае, что он уносит с собой ужасное оскорбление.
—  Можно ли, можно ли так?  — говорил озадаченный Разумихин, качая головой.

---

литературу заехали! Ну, не правду я сказал, что мы одного поля ягоды?
—  Сделайте же одолжение,  — раздражительно продолжал Раскольников,  — позвольте вас просить
поскорее объясниться и сообщить мне, почему вы удостоили меня чести вашего посещения… и… и… я
тороплюсь, мне некогда, я хочу со двора идти…
—  Извольте, извольте. Ваша сестрица, Авдотья Романовна, за господина Лужина выходит, Петра
Петровича?
—  Нельзя ли как-нибудь обойти всякий вопрос о моей сестре и не упоминать ее имени? Я даже не
понимаю, как вы смеете при мне выговаривать ее имя, если только вы действительно Свидригайлов?
—  Да ведь я же об ней и пришел говорить, как же не упоминать-то?
—  Хорошо; говорите, но скорее!
—  Я уверен, что вы об этом господине Лужине, моем по жене родственнике, уже составили ваше
мнение, если его хоть полчаса видели или хоть что-нибудь об нем верно и точно слышали. Авдотье
Романовне он не пара.
По-моему, Авдотья Романовна в этом деле жертвует собою весьма великодушно и нерасчетливо для…

---

жеваное есть. Ну, а пробил час великий, тут всяк и объявился, чем смотрит…
—  Но, однако же, нравственность? И, так сказать, правила…
—  Да об чем вы хлопочете?  — неожиданно вмешался Раскольников.  — По вашей же вышло теории!
—  Как так по моей теории?
—  А доведите до последствий, что вы давеча проповедовали, и выйдет, что людей можно резать…
—  Помилуйте!  — вскричал Лужин.
—  Нет, это не так!  — отозвался Зосимов.
Раскольников лежал бледный, с вздрагивающей верхнею губой и трудно дышал.
—  На все есть мера,  — высокомерно продолжал Лужин,  — экономическая идея еще не есть
приглашение к убийству, и если только предположить…
—  А правда ль, что вы,  — перебил вдруг опять Раскольников дрожащим от злобы голосом, в котором
слышалась какая-то радость обиды,  — правда ль, что вы сказали вашей невесте… в тот самый час, как
от нее согласие получили, что всего больше рады тому… что она нищая… потому что выгоднее брать

---

Соня с беспокойством на него посмотрела: ей что-то особенное послышалось в этой нетвердой и к
чему-то издалека подходящей речи.
—  Я уже предчувствовала, что вы что-нибудь такое спросите,  — сказала она, пытливо смотря на него.
—  Хорошо, пусть; но, однако, как же бы решить-то?
—  Зачем вы спрашиваете, чему быть невозможно?  — с отвращением сказала Соня.
—  Стало быть, лучше Лужину жить и делать мерзости! Вы и этого решить не осмелились?
—  Да ведь я божьего промысла знать не могу… И к чему вы спрашиваете, чего нельзя спрашивать? К
чему такие пустые вопросы? Как может случиться, чтоб это от моего решения зависело? И кто меня
тут судьей поставил: кому жить, кому не жить?
—  Уж как божий промысл замешается, так уж тут ничего не поделаешь,  — угрюмо проворчал
Раскольников.
—  Говорите лучше прямо, чего вам надобно!  — вскричала с страданием Соня,  — вы опять на что-то
наводите… Неужели вы только затем, чтобы мучить, пришли!

---

что мы с Дуней не приняли ваших слов в очень дурную сторону, это то, что мы здесь.
—  Хорошо, маменька!  — одобрительно сказала Дуня.
—  Стало быть, я и тут виноват!  — обиделся Лужин.
—  Вот, Петр Петрович, вы все Родиона вините, а вы и сами об нем давеча не правду написали в
письме,  — прибавила, ободрившись, Пульхерия Александровна.
—  Я не помню, чтобы написал какую-нибудь не правду-с.
—  Вы написали,  — резко проговорил Раскольников, не оборачиваясь к Лужину,  — что я вчера отдал
деньги не вдове раздавленного, как это действительно было, а его дочери (которой до вчерашнего дня
никогда не видал). Вы написали это, чтобы поссорить меня с родными, и для того прибавили, в
гнусных выражениях, о поведении девушки, которой вы не знаете.
Все это сплетня и низость.
—  Извините, сударь,  — дрожа со злости, ответил Лужин,  — в письме моем я распространился о
ваших качествах и поступках единственно в исполнение тем самым просьб вашей сестрицы и мамаши","Лужин относится к Раскольникову с неприязнью и обидой. Раскольников вызывает у Лужина раздражение своим поведением и отношением, а также подозрениями в намеренной попытке поссорить его с Дуней и её матерью.",True,True,True
