book_title,rag_type,question,true_answer,model_context,model_answer,answer_relevancy_success,contextual_recall_success,faithfulness_success
Капитанская дочка,vanilla,Почему отец Петра Гринёва не хотел отпускать сына на службу?,"Отец Гринёва считал, что служба в гвардии не даёт настоящего опыта и дисциплины, а скорее напоминает развлечение для молодых дворян. Он опасался, что сын не получит серьёзного воспитания и не научится настоящей ответственности.","были уж уверены в их согласии. 
Наконец однажды утром Савельич вошел ко мне, держа в руках письмо. Я схватил его с 
трепетом. Адрес был написан рукою батюшки. Это приуготовило меня к чему-то важному, ибо 
обыкновенно письма писала ко мне матушка, а он в конце приписывал несколько строк. Долго 
не распечатывал я пакета и перечитывал торжественную надпись: «Сыну моему Петру 
Андреевичу Гриневу, в Оренбургскую губернию, в Белогорскую крепость». Я старался по 
почерку угадать расположение духа, в котором писано было письмо; наконец решился его 
распечатать, и с первых строк увидел, что все дело пошло к чорту. Содержание письма было 
следующее: 
«Сын мой Петр! Письмо твое, в котором просишь ты нас о родительском нашем 
благословении и согласии на брак с Марьей Ивановной дочерью Мироновой, мы получили 
15-го сего месяца, и не только ни моего благословения, ни моего согласия дать я тебе не 
намерен, но еще и собираюсь до тебя добраться, да за проказы твои проучить тебя путем, как

---

столом сидел секретарь с пером за ухом, наклонясь над бумагою, готовый записывать мои 
показания. Начался допрос. Меня спросили о моем имени и звании. Генерал осведомился, не 
сын ли я Андрея Петровича Гринева? И на ответ мой возразил сурово: «Жаль, что такой 
почтенный человек имеет такого недостойного сына!» Я спокойно отвечал, что каковы бы ни 
были обвинения, тяготеющие на мне, я надеюсь их рассеять чистосердечным объяснением 
истины. Уверенность моя ему не понравилась. «Ты, брат, востер», – сказал он мне нахмурясь; – 
«но видали мы и не таких!» 
Тогда молодой человек спросил меня: по какому случаю и в какое время вошел я в службу 
к Пугачеву и по каким поручениям был я им употреблен?

---

Капитанская дочка 
 
 
 
Александр Сергеевич Пушкин 
 
 
Береги честь смолоду. 
Пословица 
 
ГЛАВА I. СЕРЖАНТ ГВАРДИИ. 
 
– Был бы гвардии он завтра ж капитан. 
– Того не надобно; пусть в армии послужит. 
– Изрядно сказано! пускай его потужит… 
– Да кто его отец? 
– Княжнин. 
 
 
Отец мой Андрей Петрович Гринев в молодости своей служил при графе Минихе, и 
вышел в отставку премьер-майором в 17.. году. С тех пор жил он в своей Симбирской деревни, 
где и женился на девице Авдотьи Васильевне Ю., дочери бедного тамошнего дворянина. Нас 
было девять человек детей. Все мои братья и сестры умерли во младенчестве. 
Матушка была еще мною брюхата, как уже я был записан в Семеновский полк сержантом, 
по милости маиора гвардии князя Б., близкого нашего родственника. Если бы паче всякого 
чаяния матушка родила дочь, то батюшка объявил бы куда следовало о смерти неявившегося 
сержанта и дело тем бы и кончилось. Я считался в отпуску до окончания наук. В то время

---

Я стал осматривать анбар, ища, не было ли какого-нибудь способа выбраться. 
– Не трудись, сказал мне батюшка, не таковской я хозяин, чтоб можно было в анбары мои 
входить и выходить воровскими лазейками. 
Матушка, на минуту обрадованная моим появлением, впала в отчаяние, видя, что 
пришлось и мне разделить погибель всей семьи. Но я был спокойнее с тех пор, как находился с 
ними и с Марьей Ивановной. Со мною была сабля, и два пистолета – я мог еще выдержать 
осаду. – Гринев должен был подоспеть к вечеру и нас освободить. Я сообщил все это моим 
родителям и успел успокоить матушку. Они предались вполне радости свидания. 
– Ну, Петр, сказал мне отец, довольно ты проказил, и я на тебя порядком был сердит. Но 
нечего поминать про старое. Надеюсь, что теперь ты исправился, и перебесился. Знаю, что ты 
служил, как надлежит честному офицеру. Спасибо. Утешил меня, старика. Коли тебе обязан я 
буду избавлением, то жизнь мне вдвое будет приятнее.

---

пашпорту. – Что это значит? спросил я его, зачем здесь рогатка? Кого ты караулишь? – Да мы, 
батюшка, бунтуем, ответил он, почесываясь. 
                                                 
10 Глава эта не включена в окончательную редакцию «Капитанской дочки» и сохранилась а черновой рукописи, 
где названа «Пропущенная глава». В тексте этой главы Гринев называется Буланиным, а Зурин – Гриневым.

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
34
бы умереть, нежели сделаться женою такого человека, каков Алексей Иванович. Он обходится 
со мною очень жестоко и грозится, коли не одумаюсь и не соглашусь, то привезет меня в лагерь 
к злодею, и с вами-де то же будет, что с Лизаветой Харловой. Я просила Алексея Ивановича 
дать мне подумать. Он согласился ждать еще три дня; а коли через три дня за него не выду, так 
уж никакой пощады не будет. Батюшка Петр Андреич! вы один у меня покровитель; 
заступитесь за меня бедную. Упросите генерала и всех командиров прислать к нам поскорее 
сикурсу, да приезжайте сами, если можете. Остаюсь вам покорная бедная сирота 
Марья Миронова». 
Прочитав это письмо, я чуть с ума не сошел. Я пустился в город, без милосердия 
пришпоривая бедного моего коня. Дорогою придумывал я и то и другое для избавления бедной 
девушки и ничего не мог выдумать. Прискакав в город, я отправился прямо к генералу и 
опрометью к нему вбежал.

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
3
научится он служа в Петербурге? мотать да повесничать? Нет, пускай послужит он в армии, да 
потянет лямку, да понюхает пороху, да будет солдат, а не шаматон. Записан в гвардии! Где его 
пашпорт? подай его сюда. 
Матушка отыскала мой паспорт, хранившийся в ее шкатулке вместе с сорочкою, в 
которой меня крестили, и вручила его батюшке дрожащею рукою. Батюшка прочел его со 
вниманием, положил перед собою на стол, и начал свое письмо. 
Любопытство меня мучило: куда ж отправляют меня, если уж не в Петербург? Я не 
сводил глаз с пера батюшкина, которое двигалось довольно медленно. Наконец он кончил, 
запечатал письмо в одном пакете с паспортом, снял очки, и подозвав меня, сказал: «Вот тебе 
письмо к Андрею Карловичу P., моему старинному товарищу и другу. Ты едешь в Оренбург 
служить под его начальством». 
Итак все мои блестящие надежды рушились! Вместо веселой петербургской жизни

---

как при взятии Белогорской крепости он меня узнал и пощадил. Я сказал, что тулуп и лошадь, 
правда, не посовестился я принять от самозванца; но что Белогорскую крепость защищал я 
противу злодея до последней крайности. Наконец я сослался и на моего генерала, который мог 
засвидетельствовать мое усердие во время бедственной оренбургской осады. 
Строгий старик взял со стола открытое письмо и стал читать его вслух: 
«На запрос вашего превосходительства косательно прапорщика Гринева, якобы 
замешанного в нынешнем смятении, и вошедшего в сношения с злодеем, службою 
недозволенные и долгу присяги противные, объяснить имею честь: оный прапорщик Гринев 
находился на службе в Оренбурге от начала октября прошлого 1773 года до 24 февраля 
нынешнего года, в которое число он из города отлучился, и с той поры уже в команду мою не 
являлся. А слышно от перебежчиков, что он был у Пугачева в слободе и с ним вместе ездил в

---

лазить на голубятни». 
Мысль о скорой разлуке со мною так поразила матушку, что она уронила ложку в 
кастрюльку, и слезы потекли по ее лицу. Напротив того трудно описать мое восхищение. 
Мысль о службе сливалась во мне с мыслями о свободе, об удовольствиях петербургской 
жизни. Я воображал себя офицером гвардии, что по мнению моему было верьхом благополучия 
человеческого. 
Батюшка не любил ни переменять свои намерения, ни откладывать их исполнение. День 
отъезду моему был назначен. Накануне батюшка объявил, что намерен писать со мною к 
будущему моему начальнику, и потребовал пера и бумаги. 
«Не забудь, Андрей Петрович», – сказала матушка – «поклониться и от меня князю Б.; 
я-дескать надеюсь, что он не оставит Петрушу своими милостями». 
– Что за вздор! – отвечал батюшка нахмурясь. – К какой стати стану я писать к князю Б.? 
«Да ведь ты сказал, что изволишь писать к начальнику Петруши». 
– Ну, а там что?

---

– Что за вздор! – отвечал батюшка нахмурясь. – К какой стати стану я писать к князю Б.? 
«Да ведь ты сказал, что изволишь писать к начальнику Петруши». 
– Ну, а там что? 
«Да ведь начальник Петрушин – князь Б. Ведь Петруша записан в Семеновский полк». 
– Записан! А мне какое дело, что он записан? Петруша в Петербург не поедет. Чему","Отец Петра Гринёва не хотел отпускать сына на службу в Петербург, потому что не желал, чтобы тот «мотал да повесничал». Он считал, что Петру нужно «потянуть лямку, да понюхать пороху, да быть солдатом, а не шаматоном». Поэтому отец отправил его служить в Оренбург под начальством своего старинного товарища и друга.",True,True,True
Капитанская дочка,vanilla,Как зовут главного героя «Капитанской дочки»?,"Главного героя повести зовут Пётр Андреевич Гринёв. Он — молодой дворянин, отправляющийся на службу в отдалённую крепость и становящийся участником исторических событий, связанных с восстанием Пугачёва.","Капитанская дочка 
 
 
 
Александр Сергеевич Пушкин 
 
 
Береги честь смолоду. 
Пословица 
 
ГЛАВА I. СЕРЖАНТ ГВАРДИИ. 
 
– Был бы гвардии он завтра ж капитан. 
– Того не надобно; пусть в армии послужит. 
– Изрядно сказано! пускай его потужит… 
– Да кто его отец? 
– Княжнин. 
 
 
Отец мой Андрей Петрович Гринев в молодости своей служил при графе Минихе, и 
вышел в отставку премьер-майором в 17.. году. С тех пор жил он в своей Симбирской деревни, 
где и женился на девице Авдотьи Васильевне Ю., дочери бедного тамошнего дворянина. Нас 
было девять человек детей. Все мои братья и сестры умерли во младенчестве. 
Матушка была еще мною брюхата, как уже я был записан в Семеновский полк сержантом, 
по милости маиора гвардии князя Б., близкого нашего родственника. Если бы паче всякого 
чаяния матушка родила дочь, то батюшка объявил бы куда следовало о смерти неявившегося 
сержанта и дело тем бы и кончилось. Я считался в отпуску до окончания наук. В то время

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
37
сгорбленный старичок с седою бородкою, не имел в себе ничего замечательного, кроме голубой 
ленты, надетой через плечо по серому армяку. Но ввек не забуду его товарища. Он был 
высокого росту, дороден и широкоплеч, и показался мне лет сорока пяти. Густая рыжая борода, 
серые сверкающие глаза, нос без ноздрей и красноватые пятна на лбу и на щеках придавали его 
рябому широкому лицу выражение неизъяснимое. Он был в красной рубахе, в киргизском 
халате и в казацких шароварах. Первый (как узнал я после) был беглый капрал Белобородов; 
второй Афанасий Соколов (прозванный Хлопушей), ссыльный преступник, три раза бежавший 
из сибирских рудников.5 Не смотря на чувства, исключительно меня волновавшие, общество, в 
котором я так нечаянно очутился, сильно развлекало мое воображение. Но Пугачев привел меня 
в себя своим вопросом: «Говори: по какому же делу выехал ты из Оренбурга?»

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
22
скромный молодой человек, был мне знаком: месяца за два перед тем проезжал он из 
Оренбурга с молодой своей женою и останавливался у Ивана Кузмича. Нижнеозерная 
находилась от нашей крепости верстах в двадцати пяти. С часу на час должно было и нам 
ожидать нападения Пугачева. Участь Марьи Ивановны живо представилась мне, и сердце у 
меня так и замерло. 
– Послушайте, Иван Кузмич! – сказал я коменданту. – Долг наш защищать крепость до 
последнего нашего издыхания; об этом и говорить нечего. Но надобно подумать о безопасности 
женщин. Отправьте их в Оренбург, если дорога еще свободна, или в отдаленную, более 
надежную крепость, куда злодеи не успели бы достигнуть. 
Иван Кузмич оборотился к жене и сказал ей: «А слышь ты матушка, и в самом деле, не 
отправить ли вас подале, пока не управимся мы с бунтовщиками?» 
– И, пустое! – сказала комендантша. – Где такая крепость, куда бы пули не залетали? Чем

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
34
бы умереть, нежели сделаться женою такого человека, каков Алексей Иванович. Он обходится 
со мною очень жестоко и грозится, коли не одумаюсь и не соглашусь, то привезет меня в лагерь 
к злодею, и с вами-де то же будет, что с Лизаветой Харловой. Я просила Алексея Ивановича 
дать мне подумать. Он согласился ждать еще три дня; а коли через три дня за него не выду, так 
уж никакой пощады не будет. Батюшка Петр Андреич! вы один у меня покровитель; 
заступитесь за меня бедную. Упросите генерала и всех командиров прислать к нам поскорее 
сикурсу, да приезжайте сами, если можете. Остаюсь вам покорная бедная сирота 
Марья Миронова». 
Прочитав это письмо, я чуть с ума не сошел. Я пустился в город, без милосердия 
пришпоривая бедного моего коня. Дорогою придумывал я и то и другое для избавления бедной 
девушки и ничего не мог выдумать. Прискакав в город, я отправился прямо к генералу и 
опрометью к нему вбежал.

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
14
Савельичу разбудить меня в седьмом часу. 
На другой день в назначенное время я стоял уже за скирдами, ожидая моего противника. 
Вскоре и он явился. «Нас могут застать» – сказал он мне; – «надобно поспешить». Мы сняли 
мундиры, остались в одних камзолах и обнажили шпаги. В эту минуту из-за скирда вдруг 
появился Иван Игнатьич и человек пять инвалидов. Он потребовал нас к коменданту. Мы 
повиновались с досадою; солдаты нас окружили, и мы отправились в крепость вслед за Иваном 
Игнатьичем, который вел нас в торжестве, шагая с удивительной важностию. 
Мы вошли в комендантской дом. Иван Игнатьич отворил двери, провозгласив 
торжественно «привел!» Нас встретила Василиса Егоровна. «Ах, мои батюшки! На что это 
похоже? как? что? в нашей крепости заводить смертоубийство! Иван Кузмич, сейчас их под 
арест! Петр Андреич! Алексей Иваныч! подавайте сюда ваши шпаги, подавайте, подавайте.

---

пашпорту. – Что это значит? спросил я его, зачем здесь рогатка? Кого ты караулишь? – Да мы, 
батюшка, бунтуем, ответил он, почесываясь. 
                                                 
10 Глава эта не включена в окончательную редакцию «Капитанской дочки» и сохранилась а черновой рукописи, 
где названа «Пропущенная глава». В тексте этой главы Гринев называется Буланиным, а Зурин – Гриневым.

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
26
разбойниками; шкап был разломан и ограблен; лампадка теплилась еще перед опустелым 
кивотом. Уцелело и зеркальцо, висевшее в простенке… Где ж была хозяйка этой смиренной, 
девической кельи? Страшная мысль мелькнула в уме моем: я вообразил ее в руках у 
разбойников… Сердце мое сжалось. . . Я горько, горько заплакал, и громко произнес имя моей 
любезной… В эту минуту послышался легкий шум, и из-за шкапа явилась Палаша, бледная и 
трепещущая. 
«Ах, Петр Андреич!» – сказала она, сплеснув руками. – «Какой денЈк! какие страсти!..» 
– А Марья Ивановна? – спросил я нетерпеливо, – что Марья Ивановна? 
«Барышня жива» – отвечала Палаша. – «Она спрятана у Акулины Памфиловны». 
– У попадьи! – вскричал я с ужасом. – Боже мой! да там Пугачев!.. 
Я бросился вон из комнаты, мигом очутился на улице и опрометью побежал в дом 
свещенника, ничего не видя и не чувствуя. Там раздавались крики, хохот и песни… Пугачев

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
16
ангельский голос ее меня приветствовал. Не могу выразить сладостного чувства, овладевшего 
мною в эту минуту. Я схватил ее руку и прильнул к ней, обливая слезами умиления. Маша не 
отрывала ее… и вдруг ее губки коснулись моей щеки, и я почувствовал их жаркой и свежий 
поцелуй. Огонь пробежал по мне. «Милая, добрая Марья Ивановна, – сказал я ей – будь моею 
женою, согласись на мое счастие». – Она опомнилась. «Ради бога успокойтесь» – сказала она, 
отняв у меня свою руку. – «Вы еще в опасности: рана может открыться. Поберегите себя хоть 
для меня». С этим словом она ушла, оставя меня в упоении восторга. Счастие воскресило меня. 
Она будет моя! она меня любит! Эта мысль наполняла все мое существование. 
С той поры мне час от часу становилось лучше. Меня лечил полковой цырюльник, ибо в 
крепости другого лекаря не было, и, слава богу, не умничал. Молодость и природа ускорили

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
19
Обращаюсь к своему рассказу. 
Однажды вечером (это было в начале октября 1773 года) сидел я дома один, слушая вой 
осеннего ветра, и смотря в окно на тучи, бегущие мимо луны. Пришли меня звать от имени 
коменданта. Я тотчас отправился. У коменданта нашел я Швабрина, Ивана Игнатьича и 
казацкого урядника. В комнате не было ни Василисы Егоровны, ни Марьи Ивановны. 
Комендант со мною поздоровался с видом озабоченным. Он запер двери, всех усадил, кроме 
урядника, который стоял у дверей, вынул из кармана бумагу и сказал нам: «Господа офицеры, 
важная новость! Слушайте, что пишет генерал». Тут он надел очки и прочел следующее: 
«Господину коменданту Белогорской крепости капитану Миронову. 
«По секрету. 
«Сим извещаю вас, что убежавший из-под караула донской казак и раскольник Емельян 
Пугачев, учиня непростительную дерзость принятием на себя имени покойного императора

---

Александр Сергеевич Пушкин: «Капитанская дочка» 
54
– Слушай – что там еще говорят? 
– Сдаетесь ли? кричал Швабрин. Видите? через пять минут вас изжарят. 
– Не сдадимся, злодей! отвечал ему батюшка твердым голосом. Лицо его, покрытое 
морщинами, оживлено было удивительною бодростию, глаза грозно сверкали из-под седых 
бровей. – И обратясь ко мне сказал: «Теперь пора!» 
Он отпер двери. Огонь ворвался и взвился по бревнам, законопаченным сухим мохом. 
Батюшка выстрелил из пистолета и шагнул за пылающий порог, закричав: «Все за мною». – (Я 
схватил) за руки матушку Марью Ивановну и быстро вывел их на воздух. У порога лежал 
Швабрин, простреленный дряхлою рукою отца моего; толпа разбойников, бежавшая от 
неожиданной нашей вылазки, тотчас ободрилась и начала нас окружать. Я успел нанести еще 
несколько ударов, но кирпич, удачно брошенный, угодил мне прямо в грудь. Я упал и на 
минуту лишился чувств. Пришед в себя, увидел я Швабрина, сидевшего на окровавленной",Главного героя «Капитанской дочки» зовут Пётр Андреич Гринёв.,True,True,False
Капитанская дочка,vanilla,Кто такой Савельич и какова его роль в повести?,"Савельич — преданный крепостной слуга семьи Гринёвых, воспитатель и спутник Петра. Он сопровождает героя на службу, заботится о нём, часто спорит с ним, но всегда остаётся верным, выступая как олицетворение старых устоев и морального компаса.","видишь, молодой человек с дороги устал; ему не до тебя… (держи-ка руки прямее…) А ты, мой 
батюшка», – продолжала она, обращаясь ко мне – «не печалься, что тебя упекли в наше 
захолустье. Не ты первый, не ты последний. Стерпится, слюбится. Швабрин Алексей Иваныч 
вот уж пятый год как к нам переведен за смертоубийство. Бог знает, какой грех его попутал; он, 
изволишь видеть, поехал за город с одним поручиком, да взяли с собою шпаги, да и ну друг в 
друга пырять; а Алексей Иваныч и заколол поручика, да еще при двух свидетелях! Что 
прикажешь делать? На грех мастера нет». 
В эту минуту вошел урядник, молодой и статный казак. «Максимыч!» – сказала ему 
капитанша. – «Отведи г. офицеру квартиру, да почище». – «Слушаю, Василиса Егоровна», – 
отвечал урядник. – «Не поместить ли его благородие к Ивану Полежаеву?» – «Врешь, 
Максимыч», – сказала капитанша: – «у Полежаева и так тесно; он же мне кум и помнит, что мы

---

вас и за крепость». С ужасом услышал я сии слова: Швабрин делался начальником крепости; 
Марья Ивановна оставалась в его власти! Боже, что с нею будет! Пугачев сошел с крыльца. Ему 
подвели лошадь. Он проворно вскочил в седло, не дождавшись казаков, которые хотели было 
подсадить его. 
В это время, из толпы народа, вижу, выступил мой Савельич, подходит к Пугачеву, и 
подает ему лист бумаги. Я не мог придумать, что из того выдет. «""Это что?» спросил важно 
Пугачев. – Прочитай, так изволишь увидеть – отвечал Савельич. Пугачев принял бумагу и

---

Подъезжая к оврагу, услышал я издали шум, крики и голос моего Савельича. Я поехал 
скорее, и вскоре очутился снова между караульными мужиками, остановившими меня 
несколько минут тому назад. Савельич находился между ими. Они стащили старика с его клячи 
и готовились вязать. Прибытие мое их обрадовало. Они с криком бросились на меня и мигом 
стащили с лошади. Один из них, повидимому главный, объявил нам, что он сейчас поведет нас 
к государю. «А наш батюшка» – прибавил он – «волен приказать: сейчас ли вас повесить, али 
дождаться свету божия». Я не противился; Савельич последовал моему примеру, и караульные 
повели нас с торжеством. 
Мы перебрались через овраг и вступили в слободу. Во всех избах горели огни. Шум и 
крики раздавались везде. На улице я встретил множество народу; но никто в темноте нас не 
заметил и не узнал во мне оренбургского офицера. Нас привели прямо к избе, стоявшей на углу 
перекрестка. У ворот стояло несколько винных бочек и две. пушки. «Вот и дворец» – сказал

---

остановился перед ним и сказал, взглянув на него грозно: – Видно тебе не довольно, что я, 
благодаря тебя, ранен и целый месяц был на краю гроба: ты и мать мою хочешь уморить. – 
Савельич был поражен как громом. «Помилуй, сударь», – сказал он чуть не зарыдав, – «что это 
изволишь говорить? Я причина, что ты был ранен! Бог видит, бежал я заслонить тебя своею 
грудью от шпаги Алексея Иваныча! Старость проклятая помешала. Да что ж я сделал 
матушке-то твоей?» – Что ты сделал? – отвечал я. – Кто просил тебя писать на меня доносы? 
разве ты приставлен ко мне в шпионы? – «Я? писал на тебя доносы?» – отвечал Савельич со 
слезами. – «Господи царю небесный! Так изволь-ка прочитать, что пишет ко мне барин: 
увидишь, как я доносил на тебя». Тут он вынул из кармана письмо, и я прочел следующее: 
«Стыдно тебе, старый пес, что ты, не взирая на мои строгие приказания, мне не донес о 
сыне моем Петре Андреевиче и что посторонние принуждены уведомлять меня о его проказах.

---

Савельич слушал с видом большого неудовольствия. Он посматривал с подозрением то на 
хозяина, то на вожатого. Постоялый двор, или, по тамошнему, умет, находился в стороне, в 
степи, далече от всякого селения, и очень походил на разбойническую пристань. Но делать 
было нечего. Нельзя было и подумать о продолжении пути. Беспокойство Савельича очень 
меня забавляло. Между тем я расположился ночевать и лег на лавку. Савельич решился 
убраться на печь; хозяин лег на полу. Скоро вся изба захрапела, и я заснул, как убитый. 
Проснувшись поутру довольно поздно, я увидел, что буря утихла. Солнце сияло. Снег 
лежал ослепительной пеленою на необозримой степи. Лошади были запряжены. Я расплатился 
с хозяином, который взял с нас такую умеренную плату, что даже Савельич с ним не заспорил и 
не стал торговаться по своему обыкновению, и вчерашние подозрения изгладились совершенно 
из головы его. Я позвал вожатого, благодарил за оказанную помочь, и велел Савельичу дать ему

---

громко произнесенное. Я оглянулся, и увидел Савельича, сбегающего ко мне по нагорной 
тропинке……. В это самое время меня сильно кольнуло в грудь пониже правого плеча; я упал и 
лишился чувств. 
 
ГЛАВА V. ЛЮБОВЬ. 
 
Ах ты, девка, девка красная! 
Не ходи, девка, молода замуж; 
Ты спроси, девка, отца, матери, 
Отца, матери, роду-племени; 
Накопи, девка, ума-разума, 
Ума-разума, приданова. 
Песня народная. 
Буде лучше меня найдешь, позабудешь. 
Если хуже меня найдешь, вспомянешь. 
То же. 
 
 
Очнувшись, я несколько времени не мог опомниться и не понимал, что со мною 
сделалось. Я лежал на кровате, в незнакомой горнице, и чувствовал большую слабость. Передо 
мною стоял Савельич со свечкою в руках. Кто-то бережно развивал перевязи, которыми грудь и 
плечо были у меня стянуты. Мало-по-мал мысли мои прояснились. Я вспомнил свой поединок, 
и догадался, что был ранен. В эту минуту скрыпнула дверь. «Что? каков?» – произнес пошепту

---

притащили под виселицу. «Не бось, не бось», – повторяли мне губители, может быть, и вправду 
желая меня ободрить. Вдруг услышал я крик: «Постойте, окаянные! погодите!..» Палачи 
остановились. Гляжу: Савельич лежит в ногах у Пугачева. «Отец родной!» – говорил бедный 
дядька. – «Что тебе в смерти барского дитяти? Отпусти его; за него тебе выкуп дадут; а для 
примера и страха ради, вели повесить хоть меня старика!» Пугачев дал знак, и меня тотчас 
развязали и оставили. «Батюшка наш тебя милует» – говорили мне. В эту минуту не могу 
сказать, чтоб я обрадовался своему избавлению, не скажу однако ж, чтоб я о нем и сожалел. 
Чувствования мои были слишком смутны. Меня снова привели к самозванцу и поставили перед 
ним на колени. Пугачев протянул мне жилистую свою руку. «Цалуй руку, цалуй руку!» – 
говорили около меня. Но я предпочел бы самую лютую казнь такому подлому унижению. 
«Батюшка Петр Андреич!» – шептал Савельич, стоя за мною и толкая меня. – «Не упрямься!

---

– Затейлива, – отвечал я ему. – Но жить убийством и разбоем значит по мне клевать 
мертвечину. 
Пугачев посмотрел на меня с удивлением и ничего не отвечал. Оба мы замолчали, 
погрузясь каждый в свои размышления. Татарин затянул унылую песню; Савельич, дремля, 
качался на облучке. Кибитка летела по гладкому зимнему пути… Вдруг увидел я деревушку на 
крутом берегу Яика, с частоколом и с колокольней – и через четверть часа въехали мы в 
Белогорскую крепость. 
 
ГЛАВА XII. СИРОТА. 
 
Как у нашей у яблонки 
Ни верхушки нет, ни отросточек; 
Как у нашей у княгинюшки 
Ни отца нету, ни матери. 
Снарядить-то ее некому, 
Благословить-то ее некому. 
Свадебная песня. 
 
 
Кибитка подъехала к крыльцу комендантского дома. Народ узнал колокольчик Пугачева и 
толпою бежал за нами. Швабрин встретил самозванца на крыльце. Он был одет казаком и 
отрастил себе бороду. Изменник помог Пугачеву вылезть из кибитки, в подлых выражениях

---

головушка! не тронули тебя ни штыки прусские, ни пули турецкие; не в честном бою положил 
ты свой живот, а сгинул от беглого каторжника!» – Унять старую ведьму! – сказал Пугачев. Тут 
молодой казак ударил ее саблею по голове, и она упала мертвая на ступени крыльца. Пугачев 
уехал; народ бросился за ним. 
 
ГЛАВА VIII. НЕЗВАНЫЙ ГОСТЬ. 
 
Незваный гость хуже татарина. 
Пословица. 
 
 
Площадь опустела. Я все стоял на одном месте, и не мог привести в порядок мысли, 
смущенные столь ужасными впечатлениями. 
Неизвестность о судьбе Марьи Ивановны пуще всего меня мучила. Где она? что с нею? 
успела ли спрятаться? надежно ли ее убежище?.. Полный тревожными мыслями, я вошел в 
комендантской дом… все было пусто; стулья, столы, сундуки были переломаны; посуда 
перебита; все растаскано. Я взбежал по маленькой лестнице, которая вела в светлицу, и в 
первый раз отроду вошел в комнату Марьи Ивановны. Я увидел ее постелю, перерытую

---

батюшка Петр Андреич! напугал ты меня! легко ли? пятые сутки!.. Марья Ивановна перервала 
его речь. „Не говори с ним много, Савельич“, – сказала она. – „Он еще слаб“. Она вышла и 
тихонько притворила дверь. Мысли мои волновались. И так я был в доме коменданта, Марья 
Ивановна входила ко мне. Я хотел сделать Савельичу некоторые вопросы, но старик замотал 
головою и заткнул себе уши. Я с досадою закрыл глаза и вскоре забылся сном. 
Проснувшись подозвал я Савельича, и вместо его увидел перед собою Марью Ивановну;","Савельич — это пожилой слуга главного героя, Петра Андреевича Гринёва. Он предан своему молодому барину и проявляет заботу о нём, сопровождая его в пути и пытаясь защитить от опасностей.",True,True,True
