book_title,rag_type,question,true_answer,model_context,model_answer,answer_relevancy_success,contextual_recall_success,faithfulness_success
Герой нашего времени,vanilla,Почему Печорин ведёт дневник?,"Печорин ведёт дневник, потому что ощущает постепенное угасание своих чувств и убеждений. Он стремится зафиксировать свои переживания и мысли, чтобы сохранить хоть следы прошлого «я» и понять, кем он стал.","М.  Ю.  Лермонтов.  «Герой нашего времени»
31
 
ЖУРНАЛ ПЕЧОРИНА
 
 
ПРЕДИСЛОВИЕ
 
Недавно я узнал, что Печорин, возвращаясь из Персии, умер. Это известие меня очень
обрадовало: оно давало мне право печатать эти записки, и я воспользовался случаем поставить
свое имя над чужим произведением. Дай Бог, чтоб читатели меня не наказали за такой невин-
ный подлог!
Теперь я должен несколько объяснить причины, побудившие меня предать публике сер-
дечные тайны человека, которого я никогда не знал. Добро бы я был еще его другом: коварная
нескромность истинного друга понятна каждому; но я видел его только раз в моей жизни на
большой дороге; следовательно, не могу питать к нему той неизъяснимой ненависти, которая,
таясь под личиною дружбы, ожидает только смерти или несчастия любимого предмета, чтоб
разразиться над его головою градом упреков, советов, насмешек и сожалений.
Перечитывая эти записки, я убедился в искренности того, кто так беспощадно выставлял

---

разразиться над его головою градом упреков, советов, насмешек и сожалений.
Перечитывая эти записки, я убедился в искренности того, кто так беспощадно выставлял
наружу собственные слабости и пороки. История души человеческой, хотя бы самой мелкой
души, едва ли не любопытнее и не полезнее истории целого народа, особенно когда она – след-
ствие наблюдений ума зрелого над самим собою и когда она писана без тщеславного желания
возбудить участие или удивление. Исповедь Руссо имеет уже недостаток, что он читал ее своим
друзьям.
Итак, одно желание пользы заставило меня напечатать отрывки из журнала, доставшегося
мне случайно. Хотя я переменил все собственные имена, но те, о которых в нем говорится,
вероятно себя узнают, и, может быть, они найдут оправдания поступкам, в которых до сей
поры обвиняли человека, уже не имеющего отныне ничего общего с здешним миром: мы почти
всегда извиняем то, что понимаем.
Я поместил в этой книге только то, что относилось к пребыванию Печорина на Кавказе;

---

всегда извиняем то, что понимаем.
Я поместил в этой книге только то, что относилось к пребыванию Печорина на Кавказе;
в моих руках осталась еще толстая тетрадь, где он рассказывает всю жизнь свою. Когда-нибудь
и она явится на суд света; но теперь я не смею взять на себя эту ответственность по многим
важным причинам.
Может быть, некоторые читатели захотят узнать мое мнение о характере Печорина? –
Мой ответ – заглавие этой книги. «Да это злая ирония!» – скажут они. – Не знаю.
 
I
ТАМАНЬ
 
Тамань – самый скверный городишко из всех приморских городов России. Я там чуть-
чуть не умер с голода, да еще вдобавок меня хотели утопить. Я приехал на перекладной тележке
поздно ночью. Ямщик остановил усталую тройку у ворот единственного каменного дома, что
при въезде. Часовой, черноморский казак, услышав звон колокольчика, закричал спросонья
диким голосом: «Кто идет?» Вышел урядник и десятник. Я им объяснил, что я офицер, еду

---

– Господа, – сказал он, – это ни на что не похоже. Печорина надо проучить! Эти петер-
бургские слётки всегда зазнаются, пока их не ударишь по носу! Он думает, что он только один
и жил в свете, оттого что носит всегда чистые перчатки и вычищенные сапоги.
– И что за надменная улыбка! А я уверен между тем, что он трус, – да, трус!
– Я думаю то же, – сказал Грушницкий. – Он любит отшучиваться. Я раз ему таких вещей
наговорил, что другой бы меня изрубил на месте, а Печорин все обратил в смешную сторону.
Я, разумеется, его не вызвал, потому что это было его дело; да не хотел и связываться…
– Грушницкий на него зол за то, что он отбил у него княжну, – сказал кто-то.
– Вот еще что вздумали! Я, правда, немножко волочился за княжной, да и тотчас отстал,
потому что не хочу жениться, а компрометировать девушку не в моих правилах.
– Да я вас уверяю, что он первейший трус, то есть Печорин, а не Грушницкий, – о, Груш-

---

– Его звали… Григорьем Александровичем Печориным. Славный был малый, смею вас
уверить; только немножко странен. Ведь, например, в дождик, в холод целый день на охоте; все
иззябнут, устанут – а ему ничего. А другой раз сидит у себя в комнате, ветер пахнёт, уверяет,
что простудился; ставнем стукнет, он вздрогнет и побледнеет; а при мне ходил на кабана один
на один; бывало, по целым часам слова не добьешься, зато уж иногда как начнет рассказывать,
так животики надорвешь со смеха… Да-с, с большими странностями, и, должно быть, богатый
человек: сколько у него было разных дорогих вещиц!..
– А долго он с вами жил? – спросил я опять.
– Да с год. Ну да уж зато памятен мне этот год; наделал он мне хлопот, не тем будь помя-
нут! Ведь есть, право, этакие люди, у которых на роду написано, что с ними должны случаться
разные необыкновенные вещи!
– Необыкновенные? – воскликнул я с видом любопытства, подливая ему чая.
– А вот я вам расскажу. Верст шесть от крепости жил один мирной князь. Сынишка его,

---

в покушении на оскорбление личности!
Герой Нашего Времени, милостивые государи мои, точно портрет, но не одного человека:
это портрет, составленный из пороков всего нашего поколения, в полном их развитии. Вы мне
опять скажете, что человек не может быть так дурен, а я вам скажу, что ежели вы верили воз-
можности существования всех трагических и романтических злодеев, отчего же вы не веру-
ете в действительность Печорина? Если вы любовались вымыслами гораздо более ужасными
и уродливыми, отчего же этот характер, даже как вымысел, не находит у вас пощады? Уж не
оттого ли, что в нем больше правды, нежели бы вы того желали?..
Вы скажете, что нравственность от этого не выигрывает? Извините. Довольно людей кор-
мили сластями; у них от этого испортился желудок: нужны горькие лекарства, едкие истины.
Но не думайте, однако, после этого, чтоб автор этой книги имел когда-нибудь гордую мечту
сделаться исправителем людских пороков. Боже его избави от такого невежества! Ему просто

---

Скажите, – продолжал он, обратясь ко мне, – ну что вы об этом думаете?.. ну, какой бес несет
его теперь в Персию?.. Смешно, ей-богу, смешно!.. Да, я всегда знал, что он ветреный человек,
на которого нельзя надеяться… А, право, жаль, что он дурно кончит… да и нельзя иначе!..
Уж я всегда говорил, что нет проку в том, кто старых друзей забывает!.. – Тут он отвернулся,
чтоб скрыть свое волнение, пошел ходить по двору около своей повозки, показывая, будто
осматривает колеса, тогда как глаза его поминутно наполнялись слезами.
– Максим Максимыч, – сказал я, подошедши к нему, – а что это за бумаги вам оставил
Печорин?
– А Бог его знает! какие-то записки…
– Что вы из них сделаете?
– Что? а велю наделать патронов.
– Отдайте их лучше мне.
Он посмотрел на меня с удивлением, проворчал что-то сквозь зубы и начал рыться в
чемодане; вот он вынул одну тетрадку и бросил ее с презрением на землю; потом другая, третья

---

пропадал; раз и другой, все чаще и чаще… «Нехорошо, – подумал я, – верно, между ними
черная кошка проскочила!»
Одно утро захожу к ним – как теперь перед глазами: Бэла сидела на кровати в черном
шелковом бешмете, бледненькая, такая печальная, что я испугался.
– А где Печорин? – спросил я.
– На охоте.
– Сегодня ушел?
Она молчала, как будто ей трудно было выговорить.
– Нет, еще вчера, – наконец сказала она, тяжело вздохнув.
– Уж не случилось ли с ним чего?
– Я вчера целый день думала, – отвечала она сквозь слезы, – придумывала разные несча-
стия: то казалось мне, что его ранил дикий кабан, то чеченец утащил в горы… А нынче мне
уж кажется, что он меня не любит.
– Право, милая, ты хуже ничего не могла придумать!
Она заплакала, потом с гордостью подняла голову, отерла слезы и продолжала:

---

– Печорин был долго нездоров, исхудал, бедняжка; только никогда с этих пор мы не гово-
рили о Бэле: я видел, что ему будет неприятно, так зачем же? Месяца три спустя его назначили
в е….й полк, и он уехал в Грузию. Мы с тех пор не встречались, да, помнится, кто-то недавно
мне говорил, что он возвратился в Россию, но в приказах по корпусу не было. Впрочем, до
нашего брата вести поздно доходят.
Тут он пустился в длинную диссертацию о том, как неприятно узнавать новости годом
позже – вероятно, для того, чтоб заглушить печальные воспоминания.
Я не перебивал его и не слушал.
Через час явилась возможность ехать; метель утихла, небо прояснилось, и мы отправи-
лись. Дорогой невольно я опять завел речь о Бэле и о Печорине.
– А не слыхали ли вы, что сделалось с Казбичем? – спросил я.
– С Казбичем? А, право, не знаю… Слышал я, что на правом фланге у шапсугов есть
какой-то Казбич, удалец, который в красном бешмете разъезжает шажком под нашими выстре-

---

Я остановился, запыхавшись, на краю горы и, прислонясь к углу домика, стал рассмат-
ривать живописную окрестность, как вдруг слышу за собой знакомый голос:
– Печорин! давно ли здесь?
Оборачиваюсь: Грушницкий! Мы обнялись. Я познакомился с ним в действующем
отряде. Он был ранен пулей в ногу и поехал на воды с неделю прежде меня.
Грушницкий – юнкер. Он только год в службе, носит, по особенному роду франтовства,
толстую солдатскую шинель. У него георгиевский солдатский крестик. Он хорошо сложен,
смугл и черноволос; ему на вид можно дать двадцать пять лет, хотя ему едва ли двадцать один
год. Он закидывает голову назад, когда говорит, и поминутно крутит усы левой рукой, ибо
правою опирается на костыль. Говорит он скоро и вычурно: он из тех людей, которые на все
случаи жизни имеют готовые пышные фразы, которых просто прекрасное не трогает и которые
важно драпируются в необыкновенные чувства, возвышенные страсти и исключительные стра-","В представленных фрагментах не содержится прямого ответа на вопрос, почему Печорин ведёт дневник. Однако упоминается, что его записки отличаются искренностью и содержат беспощадное описание собственных слабостей и пороков. Можно предположить, что ведение дневника было для Печорина способом самоанализа и рефлексии.",True,True,True
Герой нашего времени,vanilla,Как Печорин объясняет свою склонность к разрушению чужого счастья?,"Печорин признаёт, что его привлекает не сама любовь, а власть над другим человеком. Он наслаждается тем, что может вызывать сильные чувства, но не способен отвечать взаимностью, что делает его разрушительным для окружающих.","в покушении на оскорбление личности!
Герой Нашего Времени, милостивые государи мои, точно портрет, но не одного человека:
это портрет, составленный из пороков всего нашего поколения, в полном их развитии. Вы мне
опять скажете, что человек не может быть так дурен, а я вам скажу, что ежели вы верили воз-
можности существования всех трагических и романтических злодеев, отчего же вы не веру-
ете в действительность Печорина? Если вы любовались вымыслами гораздо более ужасными
и уродливыми, отчего же этот характер, даже как вымысел, не находит у вас пощады? Уж не
оттого ли, что в нем больше правды, нежели бы вы того желали?..
Вы скажете, что нравственность от этого не выигрывает? Извините. Довольно людей кор-
мили сластями; у них от этого испортился желудок: нужны горькие лекарства, едкие истины.
Но не думайте, однако, после этого, чтоб автор этой книги имел когда-нибудь гордую мечту
сделаться исправителем людских пороков. Боже его избави от такого невежества! Ему просто

---

– Господа, – сказал он, – это ни на что не похоже. Печорина надо проучить! Эти петер-
бургские слётки всегда зазнаются, пока их не ударишь по носу! Он думает, что он только один
и жил в свете, оттого что носит всегда чистые перчатки и вычищенные сапоги.
– И что за надменная улыбка! А я уверен между тем, что он трус, – да, трус!
– Я думаю то же, – сказал Грушницкий. – Он любит отшучиваться. Я раз ему таких вещей
наговорил, что другой бы меня изрубил на месте, а Печорин все обратил в смешную сторону.
Я, разумеется, его не вызвал, потому что это было его дело; да не хотел и связываться…
– Грушницкий на него зол за то, что он отбил у него княжну, – сказал кто-то.
– Вот еще что вздумали! Я, правда, немножко волочился за княжной, да и тотчас отстал,
потому что не хочу жениться, а компрометировать девушку не в моих правилах.
– Да я вас уверяю, что он первейший трус, то есть Печорин, а не Грушницкий, – о, Груш-

---

потому что не хочу жениться, а компрометировать девушку не в моих правилах.
– Да я вас уверяю, что он первейший трус, то есть Печорин, а не Грушницкий, – о, Груш-
ницкий молодец, и притом он мой истинный друг! – сказал опять драгунский капитан. – Гос-
пода! никто здесь его не защищает? Никто? тем лучше! Хотите испытать его храбрость? Это
нас позабавит…
– Хотим; только как?
– А вот слушайте: Грушницкий на него особенно сердит – ему первая роль! Он при-
дерется к какой-нибудь глупости и вызовет Печорина на дуэль… Погодите; вот в этом-то и
штука… Вызовет на дуэль: хорошо! Все это – вызов, приготовления, условия – будет как можно
торжественнее и ужаснее, – я за это берусь; я буду твоим секундантом, мой бедный друг!
Хорошо! Только вот где закорючка: в пистолеты мы не положим пуль. Уж я вам отвечаю, что
Печорин струсит, – на шести шагах их поставлю, черт возьми! Согласны ли, господа?
– Славно придумано! согласны! почему же нет? – раздалось со всех сторон.
– А ты, Грушницкий?

---

разразиться над его головою градом упреков, советов, насмешек и сожалений.
Перечитывая эти записки, я убедился в искренности того, кто так беспощадно выставлял
наружу собственные слабости и пороки. История души человеческой, хотя бы самой мелкой
души, едва ли не любопытнее и не полезнее истории целого народа, особенно когда она – след-
ствие наблюдений ума зрелого над самим собою и когда она писана без тщеславного желания
возбудить участие или удивление. Исповедь Руссо имеет уже недостаток, что он читал ее своим
друзьям.
Итак, одно желание пользы заставило меня напечатать отрывки из журнала, доставшегося
мне случайно. Хотя я переменил все собственные имена, но те, о которых в нем говорится,
вероятно себя узнают, и, может быть, они найдут оправдания поступкам, в которых до сей
поры обвиняли человека, уже не имеющего отныне ничего общего с здешним миром: мы почти
всегда извиняем то, что понимаем.
Я поместил в этой книге только то, что относилось к пребыванию Печорина на Кавказе;

---

всегда извиняем то, что понимаем.
Я поместил в этой книге только то, что относилось к пребыванию Печорина на Кавказе;
в моих руках осталась еще толстая тетрадь, где он рассказывает всю жизнь свою. Когда-нибудь
и она явится на суд света; но теперь я не смею взять на себя эту ответственность по многим
важным причинам.
Может быть, некоторые читатели захотят узнать мое мнение о характере Печорина? –
Мой ответ – заглавие этой книги. «Да это злая ирония!» – скажут они. – Не знаю.
 
I
ТАМАНЬ
 
Тамань – самый скверный городишко из всех приморских городов России. Я там чуть-
чуть не умер с голода, да еще вдобавок меня хотели утопить. Я приехал на перекладной тележке
поздно ночью. Ямщик остановил усталую тройку у ворот единственного каменного дома, что
при въезде. Часовой, черноморский казак, услышав звон колокольчика, закричал спросонья
диким голосом: «Кто идет?» Вышел урядник и десятник. Я им объяснил, что я офицер, еду

---

М.  Ю.  Лермонтов.  «Герой нашего времени»
31
 
ЖУРНАЛ ПЕЧОРИНА
 
 
ПРЕДИСЛОВИЕ
 
Недавно я узнал, что Печорин, возвращаясь из Персии, умер. Это известие меня очень
обрадовало: оно давало мне право печатать эти записки, и я воспользовался случаем поставить
свое имя над чужим произведением. Дай Бог, чтоб читатели меня не наказали за такой невин-
ный подлог!
Теперь я должен несколько объяснить причины, побудившие меня предать публике сер-
дечные тайны человека, которого я никогда не знал. Добро бы я был еще его другом: коварная
нескромность истинного друга понятна каждому; но я видел его только раз в моей жизни на
большой дороге; следовательно, не могу питать к нему той неизъяснимой ненависти, которая,
таясь под личиною дружбы, ожидает только смерти или несчастия любимого предмета, чтоб
разразиться над его головою градом упреков, советов, насмешек и сожалений.
Перечитывая эти записки, я убедился в искренности того, кто так беспощадно выставлял

---

– Какой вздор! – сказал он.
– Я уверен, – продолжал я, – что княжна в тебя уж влюблена.
Он покраснел до ушей и надулся.
О самолюбие! ты рычаг, которым Архимед хотел приподнять земной шар!..
– У тебя все шутки! – сказал он, показывая, будто сердится, – во-первых, она меня еще
так мало знает…
– Женщины любят только тех, которых не знают.
– Да я вовсе не имею претензии ей нравиться: я просто хочу познакомиться с приятным
домом, и было бы очень смешно, если б я имел какие-нибудь надежды… Вот вы, например,
другое дело! – вы, победители петербургские: только посмотрите, так женщины тают… А зна-
ешь ли, Печорин, что княжна о тебе говорила?
– Как? она тебе уж говорила обо мне?..
– Не радуйся, однако. Я как-то вступил с нею в разговор у колодца, случайно; третье
слово ее было: «Кто этот господин, у которого такой неприятный тяжелый взгляд? он был с
вами, тогда…» Она покраснела и не хотела назвать дня, вспомнив свою милую выходку. «Вам

---

Он довольно остер: эпиграммы его часто забавны, но никогда не бывают метки и злы: он
никого не убьет одним словом; он не знает людей и их слабых струн, потому что занимался
целую жизнь одним собою. Его цель – сделаться героем романа. Он так часто старался уверить
других в том, что он существо, не созданное для мира, обреченное каким-то тайным страда-
ниям, что он сам почти в этом уверился. Оттого-то он так гордо носит свою толстую солдат-
скую шинель. Я его понял, и он за это меня не любит, хотя мы наружно в самых дружеских
отношениях. Грушницкий слывет отличным храбрецом; я его видел в деле: он махает шашкой,
кричит и бросается вперед, зажмуря глаза. Это что-то не русская храбрость!..
Я его также не люблю: я чувствую, что мы когда-нибудь с ним столкнемся на узкой дороге,
и одному из нас несдобровать.
Приезд его на Кавказ – также следствие его романтического фанатизма: я уверен, что
накануне отъезда из отцовской деревни он говорил с мрачным видом какой-нибудь хорошень-

---

М.  Ю.  Лермонтов.  «Герой нашего времени»
57
– Это правда… Только любовь, которую мы читаем в глазах, ни к чему женщину не
обязывает, тогда как слова… Берегись, Грушницкий, она тебя надувает…
– Она?.. – отвечал он, подняв глаза к небу и самодовольно улыбнувшись, – мне жаль
тебя, Печорин!..
Он ушел.
Вечером многочисленное общество отправилось пешком к провалу.
По мнению здешних ученых, этот провал не что иное, как угасший кратер; он находится
на отлогости Машука, в версте от города. К нему ведет узкая тропинка между кустарников
и скал; взбираясь на гору, я подал руку княжне, и она ее не покидала в продолжение целой
прогулки.
Разговор наш начался злословием: я стал перебирать присутствующих и отсутствующих
наших знакомых, сначала выказывал смешные, а после дурные их стороны. Желчь моя взвол-
новалась. Я начал шутя – и окончил искренней злостью. Сперва это ее забавляло, а потом
испугало.
– Вы опасный человек! – сказала она мне, – я бы лучше желала попасться в лесу под нож

---

Скажите, – продолжал он, обратясь ко мне, – ну что вы об этом думаете?.. ну, какой бес несет
его теперь в Персию?.. Смешно, ей-богу, смешно!.. Да, я всегда знал, что он ветреный человек,
на которого нельзя надеяться… А, право, жаль, что он дурно кончит… да и нельзя иначе!..
Уж я всегда говорил, что нет проку в том, кто старых друзей забывает!.. – Тут он отвернулся,
чтоб скрыть свое волнение, пошел ходить по двору около своей повозки, показывая, будто
осматривает колеса, тогда как глаза его поминутно наполнялись слезами.
– Максим Максимыч, – сказал я, подошедши к нему, – а что это за бумаги вам оставил
Печорин?
– А Бог его знает! какие-то записки…
– Что вы из них сделаете?
– Что? а велю наделать патронов.
– Отдайте их лучше мне.
Он посмотрел на меня с удивлением, проворчал что-то сквозь зубы и начал рыться в
чемодане; вот он вынул одну тетрадку и бросил ее с презрением на землю; потом другая, третья",В представленных фрагментах Печорин не даёт прямого объяснения своей склонности к разрушению чужого счастья.,False,True,True
Герой нашего времени,vanilla,Почему Печорин отказывается от Бэлы?,Печорин не отказывается от Бэлы по своей воле — она погибает от руки Казбича. Однако её смерть становится для него тяжёлым ударом и символом невозможности настоящего счастья в его жизни.,"быть моею, – отчего же только мучишь меня? Разве ты любишь какого-нибудь чеченца? Если
так, я тебя сейчас отпущу домой. – Она вздрогнула едва приметно и покачала головой. – Или, –
продолжал он, – я тебе совершенно ненавистен? – Она вздохнула. – Или твоя вера запрещает
полюбить меня? – Она побледнела и молчала. – Поверь мне, аллах для всех племен один и тот
же, и если он мне позволяет любить тебя, отчего же запретит тебе платить мне взаимностью? –
Она посмотрела ему пристально в лицо, как будто пораженная этой новой мыслию; в глазах ее
выразились недоверчивость и желание убедиться. Что за глаза! они так и сверкали, будто два
угля. – Послушай, милая, добрая Бэла, – продолжал Печорин, – ты видишь, как я тебя люблю;
я все готов отдать, чтобы тебя развеселить: я хочу, чтоб ты была счастлива; а если ты снова
будешь грустить, то я умру. Скажи, ты будешь веселей?
Она призадумалась, не спуская с него черных глаз своих, потом улыбнулась ласково и

---

М.  Ю.  Лермонтов.  «Герой нашего времени»
21
Четверть часа спустя Печорин вернулся с охоты; Бэла бросилась ему на шею, и ни одной
жалобы, ни одного упрека за долгое отсутствие… Даже я уж на него рассердился.
– Помилуйте, – говорил я, – ведь вот сейчас тут был за речкою Казбич, и мы по нем
стреляли; ну, долго ли вам на него наткнуться? Эти горцы народ мстительный: вы думаете, что
он не догадывается, что вы частию помогли Азамату? А я бьюсь об заклад, что нынче он узнал
Бэлу. Я знаю, что год тому назад она ему больно нравилась – он мне сам говорил, – и если б
надеялся собрать порядочный калым, то, верно, бы посватался…
Тут Печорин задумался. «Да, – отвечал он, – надо быть осторожнее… Бэла, с нынешнего
дня ты не должна более ходить на крепостной вал».
Вечером я имел с ним длинное объяснение: мне было досадно, что он переменился к
этой бедной девочке; кроме того, что он половину дня проводил на охоте, его обращение стало

---

пропадал; раз и другой, все чаще и чаще… «Нехорошо, – подумал я, – верно, между ними
черная кошка проскочила!»
Одно утро захожу к ним – как теперь перед глазами: Бэла сидела на кровати в черном
шелковом бешмете, бледненькая, такая печальная, что я испугался.
– А где Печорин? – спросил я.
– На охоте.
– Сегодня ушел?
Она молчала, как будто ей трудно было выговорить.
– Нет, еще вчера, – наконец сказала она, тяжело вздохнув.
– Уж не случилось ли с ним чего?
– Я вчера целый день думала, – отвечала она сквозь слезы, – придумывала разные несча-
стия: то казалось мне, что его ранил дикий кабан, то чеченец утащил в горы… А нынче мне
уж кажется, что он меня не любит.
– Право, милая, ты хуже ничего не могла придумать!
Она заплакала, потом с гордостью подняла голову, отерла слезы и продолжала:

---

– Печорин был долго нездоров, исхудал, бедняжка; только никогда с этих пор мы не гово-
рили о Бэле: я видел, что ему будет неприятно, так зачем же? Месяца три спустя его назначили
в е….й полк, и он уехал в Грузию. Мы с тех пор не встречались, да, помнится, кто-то недавно
мне говорил, что он возвратился в Россию, но в приказах по корпусу не было. Впрочем, до
нашего брата вести поздно доходят.
Тут он пустился в длинную диссертацию о том, как неприятно узнавать новости годом
позже – вероятно, для того, чтоб заглушить печальные воспоминания.
Я не перебивал его и не слушал.
Через час явилась возможность ехать; метель утихла, небо прояснилось, и мы отправи-
лись. Дорогой невольно я опять завел речь о Бэле и о Печорине.
– А не слыхали ли вы, что сделалось с Казбичем? – спросил я.
– С Казбичем? А, право, не знаю… Слышал я, что на правом фланге у шапсугов есть
какой-то Казбич, удалец, который в красном бешмете разъезжает шажком под нашими выстре-

---

потому что не хочу жениться, а компрометировать девушку не в моих правилах.
– Да я вас уверяю, что он первейший трус, то есть Печорин, а не Грушницкий, – о, Груш-
ницкий молодец, и притом он мой истинный друг! – сказал опять драгунский капитан. – Гос-
пода! никто здесь его не защищает? Никто? тем лучше! Хотите испытать его храбрость? Это
нас позабавит…
– Хотим; только как?
– А вот слушайте: Грушницкий на него особенно сердит – ему первая роль! Он при-
дерется к какой-нибудь глупости и вызовет Печорина на дуэль… Погодите; вот в этом-то и
штука… Вызовет на дуэль: хорошо! Все это – вызов, приготовления, условия – будет как можно
торжественнее и ужаснее, – я за это берусь; я буду твоим секундантом, мой бедный друг!
Хорошо! Только вот где закорючка: в пистолеты мы не положим пуль. Уж я вам отвечаю, что
Печорин струсит, – на шести шагах их поставлю, черт возьми! Согласны ли, господа?
– Славно придумано! согласны! почему же нет? – раздалось со всех сторон.
– А ты, Грушницкий?

---

закричать; часовые всполошились, выстрелили, да мимо, а мы тут и подоспели.
– Да зачем Казбич ее хотел увезти?
– Помилуйте, да эти черкесы – известный воровской народ: что плохо лежит, не могут
не стянуть; другое и не нужно, а все украдет… уж в этом прошу их извинить! Да притом она
ему давно-таки нравилась.
– И Бэла умерла?
– Умерла; только долго мучилась, и мы уж с нею измучились порядком. Около десяти
часов вечера она пришла в себя; мы сидели у постели; только что она открыла глаза, начала
звать Печорина. «Я здесь, подле тебя, моя джанечка (то есть, по-нашему, душенька)», – отвечал
он, взяв ее за руку. «Я умру!» – сказала она. Мы начали ее утешать, говорили, что лекарь
обещал ее вылечить непременно; она покачала головкой и отвернулась к стене: ей не хотелось
умирать!..
Ночью она начала бредить; голова ее горела, по всему телу иногда пробегала дрожь лихо-
радки; она говорила несвязные речи об отце, брате: ей хотелось в горы, домой… Потом она

---

времени не видались…
– Мне пора, Максим Максимыч, – был ответ.
– Боже мой, Боже мой! да куда это так спешите?.. Мне столько бы хотелось вам сказать…
столько расспросить… Ну что? в отставке?.. как?.. что поделывали?..
– Скучал! – отвечал Печорин, улыбаясь…
– А помните наше житье-бытье в крепости? Славная страна для охоты!.. Ведь вы были
страстный охотник стрелять… А Бэла?..
Печорин чуть-чуть побледнел и отвернулся…
– Да, помню! – сказал он, почти тотчас принужденно зевнув…
Максим Максимыч стал его упрашивать остаться с ним еще часа два.
– Мы славно пообедаем, – говорил он, – у меня есть два фазана; а кахетинское здесь
прекрасное… разумеется, не то, что в Грузии, однако лучшего сорта… Мы поговорим… вы
мне расскажете про свое житье в Петербурге… А?
– Право, мне нечего рассказывать, дорогой Максим Максимыч… Однако прощайте, мне
пора… я спешу… Благодарю, что не забыли… – прибавил он, взяв его за руку.
Старик нахмурил брови… он был печален и сердит, хотя старался скрыть это.

---

земле лежала раненая лошадь и возле нее Бэла; а Казбич, бросив ружье, по кустарникам, точно
кошка, карабкался на утес; хотелось мне его снять оттуда – да не было заряда готового! Мы
соскочили с лошадей и кинулись к Бэле. Бедняжка, она лежала неподвижно, и кровь лилась из
раны ручьями… Такой злодей; хоть бы в сердце ударил – ну, так уж и быть, одним разом все
бы кончил, а то в спину… самый разбойничий удар! Она была без памяти. Мы изорвали чадру
и перевязали рану как можно туже; напрасно Печорин целовал ее холодные губы – ничто не
могло привести ее в себя.
Печорин сел верхом; я поднял ее с земли и кое-как посадил к нему на седло; он обхватил
ее рукой, и мы поехали назад. После нескольких минут молчания Григорий Александрович

---

– Господа, – сказал он, – это ни на что не похоже. Печорина надо проучить! Эти петер-
бургские слётки всегда зазнаются, пока их не ударишь по носу! Он думает, что он только один
и жил в свете, оттого что носит всегда чистые перчатки и вычищенные сапоги.
– И что за надменная улыбка! А я уверен между тем, что он трус, – да, трус!
– Я думаю то же, – сказал Грушницкий. – Он любит отшучиваться. Я раз ему таких вещей
наговорил, что другой бы меня изрубил на месте, а Печорин все обратил в смешную сторону.
Я, разумеется, его не вызвал, потому что это было его дело; да не хотел и связываться…
– Грушницкий на него зол за то, что он отбил у него княжну, – сказал кто-то.
– Вот еще что вздумали! Я, правда, немножко волочился за княжной, да и тотчас отстал,
потому что не хочу жениться, а компрометировать девушку не в моих правилах.
– Да я вас уверяю, что он первейший трус, то есть Печорин, а не Грушницкий, – о, Груш-

---

день дарил ей что-нибудь: первые дни она молча гордо отталкивала подарки, которые тогда
доставались духанщице и возбуждали ее красноречие. Ах, подарки! чего не сделает женщина за
цветную тряпочку!.. Ну, да это в сторону… Долго бился с нею Григорий Александрович; между
тем учился по-татарски, и она начинала понимать по-нашему. Мало-помалу она приучилась
на него смотреть, сначала исподлобья, искоса, и все грустила, напевала свои песни вполголоса,
так что, бывало, и мне становилось грустно, когда слушал ее из соседней комнаты. Никогда не
забуду одной сцены, шел я мимо и заглянул в окно; Бэла сидела на лежанке, повесив голову на
грудь, а Григорий Александрович стоял перед нею.
– Послушай, моя пери, – говорил он, – ведь ты знаешь, что рано или поздно ты должна
быть моею, – отчего же только мучишь меня? Разве ты любишь какого-нибудь чеченца? Если
так, я тебя сейчас отпущу домой. – Она вздрогнула едва приметно и покачала головой. – Или, –","В представленных фрагментах не сказано, что Печорин отказывается от Бэлы. Напротив, из текста следует, что Печорин проявляет к ней интерес и заботу, но его поведение меняется, становясь более отстранённым, что вызывает у Бэлы грусть и тревогу.",True,True,True
