book_title,rag_type,question,true_answer,model_context,model_answer,answer_relevancy_success,contextual_recall_success,faithfulness_success
Отцы и дети,hyde-reranking,Почему Павел Петрович вызывает Базарова на дуэль?,"Павел Петрович вызывает Базарова на дуэль из-за глубокой личной неприязни и оскорблённого самолюбия. Он чувствует, что его убеждения и образ жизни отвергаются Базаровым, и считает, что честь требует удовлетворения через поединок.","испытать на мне свой рыцарский дух. Я бы мог отказать вам в этом удовольствии, да уж куда ни шло!
– Чувствительно вам обязан, – ответил Павел Петрович, – и могу теперь надеяться, что вы примете мой
вызов, не заставив меня прибегнуть к насильственным мерам.
– То есть, говоря без аллегорий, к этой палке? – хладнокровно заметил Базаров. – Это совершенно
справедливо. Вам нисколько не нужно оскорблять меня. Оно же и не совсем безопасно. Вы можете
остаться джентльменом… Принимаю ваш вызов тоже по-джентльменски.
– Прекрасно, – промолвил Павел Петрович и поставил трость в угол. – Мы сейчас скажем несколько
слов об условиях нашей дуэли; но я сперва желал бы узнать, считаете ли вы нужным прибегнуть к
формальности небольшой ссоры, которая могла бы служить предлогом моему вызову?
– Нет, лучше без формальностей.
– Я сам так думаю. Полагаю также неуместным вникать в настоящие причины нашего столкновения.
Мы друг друга терпеть не можем. Чего больше?
– Чего же больше? – повторил иронически Базаров.

---

окна и опираясь обеими руками на красивую трость с набалдашником из слоновой кости (он
обыкновенно хаживал без трости), – но я принужден просить вас уделить мне пять минут вашего
времени… не более.
– Все мое время к вашим услугам, – ответил Базаров, у которого что-то пробежало по лицу, как только
Павел Петрович переступил порог двери.
– С меня пяти минут довольно. Я пришел предложить вам один вопрос.
– Вопрос? О чем это?
– А вот извольте выслушать. В начале вашего пребывания в доме моего брата, когда я еще не
отказывал себе в удовольствии беседовать с вами, мне случалось слышать ваши суждения о многих
предметах; но, сколько мне помнится, ни между нами, ни в моем присутствии речь никогда не
заходила о поединках, о дуэли вообще. Позвольте узнать, какое ваше мнение об этом предмете?
Базаров, который встал было навстречу Павлу Петровичу, присел на край стола и скрестил руки.
– Вот мое мнение, – сказал он. – С теоретической точки зрения дуэль – нелепость; ну, а с практической

---

неприятно недругам, особенно когда нельзя ни объясниться, ни разойтись.
– Не туго ли я завязал вам ногу? – спросил наконец Базаров.
– Нет, ничего, прекрасно, – отвечал Павел Петрович и, погодя немного, прибавил: – Брата не
обманешь, надо будет сказать ему, что мы повздорили из-за политики.
– Очень хорошо, – промолвил Базаров. – Вы можете сказать, что я бранил всех англоманов.
– И прекрасно. Как вы полагаете, что думает теперь о нас этот человек? – продолжал Павел Петрович,
указывая на того самого мужика, который за несколько минут до дуэли прогнал мимо Базарова
спутанных лошадей и, возвращаясь назад по дороге, «забочил» и снял шапку при виде «господ».
– Кто ж его знает! – ответил Базаров, – всего вероятнее, что ничего не думает. – Русский мужик – это
тот самый таинственный незнакомец, о котором некогда так много толковала госпожа Ратклифф. Кто
его поймет? Он сам себя не понимает.
– А! вот вы как! – начал было Павел Петрович и вдруг воскликнул: – Посмотрите, что ваш глупец Петр

---

дискуссии.
– Я полагаю, на десять, – ответил Павел Петрович, подавая Базарову оба пистолета. – Соблаговолите
выбрать.
– Соблаговоляю. А согласитесь, Павел Петрович, что поединок наш необычаен до смешного. Вы
посмотрите только на физиономию нашего секунданта.
– Вам все желательно шутить, – ответил Павел Петрович. – Я не отрицаю странности нашего
поединка, но я считаю долгом предупредить вас, что я намерен драться серьезно. A bon entendeur,
salut!
– О! я не сомневаюсь в том, что мы решились истреблять друг друга; но почему же не посмеяться и не
соединить utile dulci? Так-то: вы мне по-французски, а я вам по-латыни.
– Я буду драться серьезно, – повторил Павел Петрович и отправился на свое место. Базаров, с своей
стороны, отсчитал десять шагов от барьера и остановился.
– Вы готовы? – спросил Павел Петрович.
– Совершенно.
– Можем сходиться.
Базаров тихонько двинулся вперед, и Павел Петрович пошел на него, заложив левую руку в карман и

---

Базаров, который встал было навстречу Павлу Петровичу, присел на край стола и скрестил руки.
– Вот мое мнение, – сказал он. – С теоретической точки зрения дуэль – нелепость; ну, а с практической
точки зрения – это дело другое.
– То есть вы хотите сказать, если я только вас понял, что какое бы ни было ваше теоретическое
воззрение на дуэль, на практике вы бы не позволили оскорбить себя, не потребовав удовлетворения?

---

– Вы вполне отгадали мою мысль.
– Очень хорошо-с. Мне очень приятно это слышать от вас. Ваши слова выводят меня из
неизвестности…
– Из нерешимости, хотите вы сказать.
– Это все равно-с; я выражаюсь так, чтобы меня поняли; я… не семинарская крыса. Ваши слова
избавляют меня от некоторой печальной необходимости. Я решился драться с вами.
Базаров вытаращил глаза.
– Со мной?
– Непременно с вами.
– Да за что? помилуйте.
– Я бы мог объяснить вам причину, – начал Павел Петрович. – Но я предпочитаю умолчать о ней. Вы,
на мой вкус, здесь лишний; я вас терпеть не могу, я вас презираю, и если вам этого не довольно…
Глаза Павла Петровича засверкали… Они вспыхнули и у Базарова.
– Очень хорошо-с, – проговорил он. – Дальнейших объяснений не нужно. Вам пришла фантазия
испытать на мне свой рыцарский дух. Я бы мог отказать вам в этом удовольствии, да уж куда ни шло!
– Чувствительно вам обязан, – ответил Павел Петрович, – и могу теперь надеяться, что вы примете мой

---

– Вы готовы? – спросил Павел Петрович.
– Совершенно.
– Можем сходиться.
Базаров тихонько двинулся вперед, и Павел Петрович пошел на него, заложив левую руку в карман и
постепенно поднимая дуло пистолета… «Он мне прямо в нос целит, – подумал Базаров, – и как
щурится старательно, разбойник! Однако это неприятное ощущение. Стану смотреть на цепочку его
часов…» Что-то резко зыкнуло около самого уха Базарова, и в то же мгновенье раздался выстрел.
«Слышал, стало быть ничего», – успело мелькнуть в его голове. Он ступил еще раз и, не целясь,
подавил пружинку.
Павел Петрович дрогнул слегка и хватился рукою за ляжку. Струйка крови потекла по его белым
панталонам.
Базаров бросил пистолет в сторону и приблизился к своему противнику.
– Вы ранены? – промолвил он.
– Вы имели право подозвать меня к барьеру, – проговорил Павел Петрович, – а это пустяки. По
условию каждый имеет еще по одному выстрелу.
– Ну, извините, это до другого раза, – отвечал Базаров и обхватил Павла Петровича, который начинал

---

– Вот с этим я не совсем согласен, – промолвил Базаров. – Немножко на французский роман сбивается,
неправдоподобно что-то.
– Быть может. Однако согласитесь, что неприятно подвергнуться подозрению в убийстве?
– Соглашаюсь. Но есть средство избегнуть этого грустного нарекания. Секундантов у нас не будет, но
может быть свидетель.
– Кто именно, позвольте узнать?
– Да Петр.
– Какой Петр?
– Камердинер вашего брата. Он человек, стоящий на высоте современного образования, и исполнит
свою роль со всем необходимым в подобных случаях комильфо.
– Мне кажется, вы шутите, милостивый государь.
– Нисколько. Обсудивши мое предложение, вы убедитесь, что оно исполнено здравого смысла и
простоты. Шила в метке не утаить, а Петра я берусь подготовить надлежащим образом и привести на
место побоища.
– Вы продолжаете шутить, – произнес, вставая со стула, Павел Петрович. – Но после любезной
готовности, оказанной вами, я не имею права быть на вас в претензии… Итак, все устроено… Кстати,
пистолетов у вас нет?

---

Николай Петрович.
– Ну, я так скоро не сдамся, – пробормотал его брат. – У нас еще будет схватка с этим лекарем, я это
предчувствую.
Схватка произошла в тот же день за вечерним чаем. Павел Петрович сошел в гостиную уже готовый к
бою, раздраженный и решительный. Он ждал только предлога, чтобы накинуться на врага; но предлог
долго не представлялся. Базаров вообще говорил мало в присутствии «старичков Кирсановых» (так он
называл обоих братьев), а в тот вечер он чувствовал себя не в духе и молча выпивал чашку за чашкой.
Павел Петрович весь горел нетерпением; его желания сбылись наконец.
Речь зашла об одном из соседних помещиков. «Дрянь, аристократишко», – равнодушно заметил

---

его поймет? Он сам себя не понимает.
– А! вот вы как! – начал было Павел Петрович и вдруг воскликнул: – Посмотрите, что ваш глупец Петр
наделал! Ведь брат сюда скачет!
Базаров обернулся и увидал бледное лицо Николая Петровича, сидевшего на дрожках. Он соскочил с
них, прежде нежели они остановились, и бросился к брату.
– Что это значит? – проговорил он взволнованным голосом. – Евгений Васильич, помилуйте, что это
такое?
– Ничего, – отвечал Павел Петрович, – напрасно тебя потревожили. Мы немножко повздорили с
господином Базаровым, и я за это немножко поплатился.
– Да из-за чего все вышло, ради бога?","Павел Петрович вызывает Базарова на дуэль, потому что испытывает к нему неприязнь и считает его присутствие лишним. При этом Павел Петрович признаёт, что не намерен вдаваться в объяснения причин дуэли и предпочитает умолчать о них.",True,True,True
Отцы и дети,hyde-reranking,Как Базаров относится к дуэли как явлению?,"Базаров считает дуэль пережитком прошлого и глупой формальностью, но признаёт, что в реальной жизни не позволил бы себя оскорбить без ответа. Это показывает противоречие между его нигилистическими убеждениями и инстинктивным чувством собственного достоинства.","окна и опираясь обеими руками на красивую трость с набалдашником из слоновой кости (он
обыкновенно хаживал без трости), – но я принужден просить вас уделить мне пять минут вашего
времени… не более.
– Все мое время к вашим услугам, – ответил Базаров, у которого что-то пробежало по лицу, как только
Павел Петрович переступил порог двери.
– С меня пяти минут довольно. Я пришел предложить вам один вопрос.
– Вопрос? О чем это?
– А вот извольте выслушать. В начале вашего пребывания в доме моего брата, когда я еще не
отказывал себе в удовольствии беседовать с вами, мне случалось слышать ваши суждения о многих
предметах; но, сколько мне помнится, ни между нами, ни в моем присутствии речь никогда не
заходила о поединках, о дуэли вообще. Позвольте узнать, какое ваше мнение об этом предмете?
Базаров, который встал было навстречу Павлу Петровичу, присел на край стола и скрестил руки.
– Вот мое мнение, – сказал он. – С теоретической точки зрения дуэль – нелепость; ну, а с практической

---

Базаров, который встал было навстречу Павлу Петровичу, присел на край стола и скрестил руки.
– Вот мое мнение, – сказал он. – С теоретической точки зрения дуэль – нелепость; ну, а с практической
точки зрения – это дело другое.
– То есть вы хотите сказать, если я только вас понял, что какое бы ни было ваше теоретическое
воззрение на дуэль, на практике вы бы не позволили оскорбить себя, не потребовав удовлетворения?

---

правда ли?
– Все у вас благополучно, но не все здоровы, – проговорил Базаров. – А ты не тараторь, вели принести
мне квасу, присядь и слушай, что я тебе сообщу в немногих, но, надеюсь, довольно сильных
выражениях.
Аркадий притих, а Базаров рассказал ему свою дуэль с Павлом Петровичем. Аркадий очень удивился
и даже опечалился; но не почел нужным это выказать; он только спросил, действительно ли не опасна
рана его дяди? И, получив ответ, что она – самая интересная, только не в медицинском отношении,
принужденно улыбнулся, а на сердце ему и жутко сделалось, и как-то стыдно. Базаров как будто его
понял.
– Да, брат, – промолвил он, – вот что значит с феодалами пожить. Сам в феодалы попадешь и в
рыцарских турнирах участвовать будешь. Ну-с, вот я и отправился к «отцам», – так заключил
Базаров, – и на дороге завернул сюда… чтобы все это передать, сказал бы я, если б я не почитал
бесполезную ложь – глупостью. Нет, я завернул сюда – черт знает зачем. Видишь ли, человеку иногда

---

испытать на мне свой рыцарский дух. Я бы мог отказать вам в этом удовольствии, да уж куда ни шло!
– Чувствительно вам обязан, – ответил Павел Петрович, – и могу теперь надеяться, что вы примете мой
вызов, не заставив меня прибегнуть к насильственным мерам.
– То есть, говоря без аллегорий, к этой палке? – хладнокровно заметил Базаров. – Это совершенно
справедливо. Вам нисколько не нужно оскорблять меня. Оно же и не совсем безопасно. Вы можете
остаться джентльменом… Принимаю ваш вызов тоже по-джентльменски.
– Прекрасно, – промолвил Павел Петрович и поставил трость в угол. – Мы сейчас скажем несколько
слов об условиях нашей дуэли; но я сперва желал бы узнать, считаете ли вы нужным прибегнуть к
формальности небольшой ссоры, которая могла бы служить предлогом моему вызову?
– Нет, лучше без формальностей.
– Я сам так думаю. Полагаю также неуместным вникать в настоящие причины нашего столкновения.
Мы друг друга терпеть не можем. Чего больше?
– Чего же больше? – повторил иронически Базаров.

---

Одинцова была к ней довольно равнодушна, так же как и Базаров. Почти постоянное разъединение
наших приятелей не осталось без последствий: отношения между ними стали меняться. Базаров
перестал говорить с Аркадием об Одинцовой, перестал даже бранить ее «аристократические
замашки»; правда, Катю он хвалил по-прежнему и только советовал умерять в ней сентиментальные
наклонности, но похвалы его были торопливы, советы сухи, и вообще он с Аркадием беседовал гораздо
меньше прежнего… он как будто избегал, как будто стыдился его…
Аркадий все это замечал, но хранил про себя свои замечания.
Настоящею причиной всей этой «новизны» было чувство, внушенное Базарову Одинцовой, чувство,
которое его мучило и бесило и от которого он тотчас отказался бы с презрительным хохотом и
циническою бранью, если бы кто-нибудь хотя отдаленно намекнул ему на возможность того, что в нем
происходило. Базаров был великий охотник до женщин и до женской красоты, но любовь в смысле

---

– Я сам так думаю. Полагаю также неуместным вникать в настоящие причины нашего столкновения.
Мы друг друга терпеть не можем. Чего больше?
– Чего же больше? – повторил иронически Базаров.
– Что же касается до самых условий поединка, но так как у нас секундантов не будет, – ибо где ж их
взять?
– Именно, где их взять?
– То я имею честь предложить вам следующее: драться завтра рано, положим, в шесть часов, за
рощей, на пистолетах; барьер в десяти шагах…
– В десяти шагах? это так; мы на это расстояние ненавидим друг друга.
– Можно и восемь, – заметил Павел Петрович.
– Можно; отчего же!
– Стрелять два раза; а на всякий случай каждому положить себе в карман письмецо, в котором он сам
обвинит себя в своей кончине.

---

Базаров помолчал.
– Когда я встречу человека, который не спасовал бы передо мною, – проговорил он с расстановкой, –
тогда я изменю свое мнение о самом себе. Ненавидеть! Да вот, например, ты сегодня сказал, проходя
мимо избы нашего старосты Филиппа, – она такая славная, белая, – вот, сказал ты, Россия тогда
достигнет совершенства, когда у последнего мужика будет такое же помещение, и всякий из нас
должен этому способствовать… А я и возненавидел этого последнего мужика, Филиппа или Сидора,
для которого я должен из кожи лезть и который мне даже спасибо не скажет… да и на что мне его
спасибо? Ну, будет он жить в белой избе, а из меня лопух расти будет; ну, а дальше?
– Полно, Евгений… послушать тебя сегодня, поневоле согласишься с теми, которые упрекают нас в
отсутствии принципов.
– Ты говоришь, как твой дядя. Принципов вообще нет – ты об этом не догадался до сих пор! – а есть
ощущения. Все от них зависит.
– Как так?

---

ощущением для Ситникова; он в особенности нападал на женщин, не подозревая того, что ему
предстояло несколько месяцев спустя пресмыкаться перед своей женой потому только, что она была
урожденная княжна Дурдолеосова.) Ни одна из них не была бы в состоянии понять нашу беседу; ни
одна из них не стоит того, чтобы мы, серьезные мужчины, говорили о ней!
– Да им совсем не нужно понимать нашу беседу, – промолвил Базаров.
– О ком вы говорите? – вмешалась Евдоксия.
– О хорошеньких женщинах.
– Как? Вы, стало быть, разделяете мнение Прудона?
Базаров надменно выпрямился.
– Я ничьих мнений не разделяю; я имею свои.

---

но мне, признаюсь, одно больно: я надеялся именно теперь тесно и дружески сойтись с Аркадием, а
выходит, что я остался назади, он ушел вперед, и понять мы друг друга не можем.
– Да почему он ушел вперед? И чем он от нас так уж очень отличается? – с нетерпением воскликнул
Павел Петрович. – Это все ему в голову синьор этот вбил, нигилист этот. Ненавижу я этого лекаришку;
по-моему, он просто шарлатан; я уверен, что со всеми своими лягушками он и в физике недалеко
ушел.
– Нет, брат, ты этого не говори: Базаров умен и знающ.
– И самолюбие какое противное, – перебил опять Павел Петрович.
– Да, – заметил Николай Петрович, – он самолюбив. Но без этого, видно, нельзя; только вот чего я в
толк не возьму. Кажется, я все делаю, чтобы не отстать от века: крестьян устроил, ферму завел, так
что даже меня во всей губернии красным величают; читаю, учусь, вообще стараюсь стать в уровень с
современными требованиями, – а они говорят, что песенка моя спета. Да что, брат, я сам начинаю

---

дискуссии.
– Я полагаю, на десять, – ответил Павел Петрович, подавая Базарову оба пистолета. – Соблаговолите
выбрать.
– Соблаговоляю. А согласитесь, Павел Петрович, что поединок наш необычаен до смешного. Вы
посмотрите только на физиономию нашего секунданта.
– Вам все желательно шутить, – ответил Павел Петрович. – Я не отрицаю странности нашего
поединка, но я считаю долгом предупредить вас, что я намерен драться серьезно. A bon entendeur,
salut!
– О! я не сомневаюсь в том, что мы решились истреблять друг друга; но почему же не посмеяться и не
соединить utile dulci? Так-то: вы мне по-французски, а я вам по-латыни.
– Я буду драться серьезно, – повторил Павел Петрович и отправился на свое место. Базаров, с своей
стороны, отсчитал десять шагов от барьера и остановился.
– Вы готовы? – спросил Павел Петрович.
– Совершенно.
– Можем сходиться.
Базаров тихонько двинулся вперед, и Павел Петрович пошел на него, заложив левую руку в карман и","С теоретической точки зрения Базаров считает дуэль нелепостью, но с практической точки зрения его позиция меняется. Он принимает вызов Павла Петровича и соглашается на дуэль, демонстрируя, что на практике не позволит оскорбить себя без требования удовлетворения.",True,True,True
Отцы и дети,hyde-reranking,Как Николай Петрович относится к занятиям Базарова естественными науками?,"Николай Петрович с уважением и интересом относится к занятиям Базарова естественными науками. Он надеется использовать его знания в агрономии, особенно в применении научных методов удобрения почвы, что отражает его стремление к прогрессу в управлении имением.","прозрачная инфузория глотала зеленую пылинку и хлопотливо пережевывала ее какими-то очень
проворными кулачками, находившимися у ней в горле. Гораздо чаще своего брата посещал Базарова
Николай Петрович; он бы каждый день приходил, как он выражался «учиться», если бы хлопоты по
хозяйству не отвлекали его. Он не стеснял молодого естествоиспытателя: садился где-нибудь в уголок
комнаты и глядел внимательно, изредка позволяя себе осторожный вопрос. Во время обедов и ужинов
он старался направлять речь на физику, геологию или химию, так как все другие предметы, даже
хозяйственные, не говоря уже о политических, могли повести если не к столкновениям, то ко
взаимному неудовольствию. Николай Петрович догадывался, что ненависть его брата к Базарову
нисколько не уменьшилась. Неважный случай, между многими другими, подтвердил его догадки.
Холера стала появляться кое-где по окрестностям и даже «выдернула» двух людей из самого Марьина.

---

– Какую я тебе славную лошадь приготовил! – начал он, – ты увидишь. И комната твоя оклеена обоями.
– А для Базарова комната есть?
– Найдется и для него.
– Пожалуйста, папаша, приласкай его. Я не могу тебе выразить, до какой степени я дорожу его
дружбой.
– Ты недавно с ним познакомился?
– Недавно.
– То-то прошлою зимой я его не видал. Он чем занимается?
– Главный предмет его – естественные науки. Да он все знает. Он в будущем году хочет держать на
доктора.
– А! он по медицинскому факультету, – заметил Николай Петрович и помолчал. – Петр, – прибавил он
и протянул руку, – это, никак, наши мужики едут?
Петр глянул в сторону, куда указывал барин. Несколько телег, запряженных разнузданными
лошадьми, шибко катились по узкому проселку. В каждой телеге сидело по одному, много по два
мужика в тулупах нараспашку.
– Точно так-с, – промолвил Петр.
– Куда это они едут, в город, что ли?
– Полагать надо, что в город. В кабак, – прибавил он презрительно и слегка наклонился к кучеру, как

---

Петрович почувствовал, что сострил неудачно, и заговорил о хозяйстве и о новом управляющем,
который накануне приходил к нему жаловаться, что работник Фома «дибоширничает» и от рук
отбился. «Такой уж он Езоп, – сказал он между прочим, – всюду протестовал себя дурным человеком;
поживет и с глупостью отойдет».
VI
Базаров вернулся, сел за стол и начал поспешно пить чай. Оба брата молча глядели на него, а
Аркадий украдкой посматривал то на отца, то на дядю.
– Вы далеко отсюда ходили? – спросил наконец Николай Петрович.
– Тут у вас болотце есть, возле осиновой рощи. Я взогнал штук пять бекасов, ты можешь убить их,
Аркадий.
– А вы не охотник?
– Нет.
– Вы собственно физикой занимаетесь? – спросил в свою очередь Павел Петрович.
– Физикой, да; вообще естественными науками.

---

отрывочным речам. Фенечка, в особенности, до того с ним освоилась, что однажды ночью велела
разбудить его: с Митей сделались судороги; и он пришел и, по обыкновению полушутя, полузевая,
просидел у ней часа два и помог ребенку. Зато Павел Петрович всеми силами души своей
возненавидел Базарова: он считал его гордецом, нахалом, циником, плебеем; он подозревал, что
Базаров не уважает его, что он едва ли не презирает его – его, Павла Кирсанова! Николай Петрович
побаивался молодого «нигилиста» и сомневался в пользе его влияния на Аркадия; но он охотно его
слушал, охотно присутствовал при его физических и химических опытах. Базаров привез с собой
микроскоп и по целым часам с ним возился. Слуги также привязались к нему, хотя он над ними
подтрунивал: они чувствовали, что он все-таки свой брат, не барин. Дуняша охотно с ним хихикала и
искоса, значительно посматривала на него, пробегая мимо «перепелочкой»; Петр, человек до

---

ваше мнение узнаем, и свое выскажем. С своей стороны, я очень рад, что вы занимаетесь
естественными науками. Я слышал, что Либих сделал удивительные открытия насчет удобрений
полей. Вы можете мне помочь в моих агрономических работах: вы можете дать мне какой-нибудь
полезный совет.
– Я к вашим услугам, Николай Петрович; но куда нам до Либиха! Сперва надо азбуке выучиться и
потом уже взяться за книгу, а мы еще аза в глаза не видали.
«Ну, ты, я вижу, точно нигилист», – подумал Николай Петрович.
– Все-таки позвольте прибегнуть к вам при случае, – прибавил он вслух. – А теперь нам, я полагаю,
брат, пора пойти потолковать с приказчиком.
Павел Петрович поднялся со стула.
– Да, – проговорил он, ни на кого не глядя, – беда пожить этак годков пять в деревне, в отдалении от
великих умов! Как раз дурак дураком станешь. Ты стараешься не забыть того, чему тебя учили, а там –
хвать! – оказывается, что все это вздор, и тебе говорят, что путные люди этакими пустяками больше

---

но мне, признаюсь, одно больно: я надеялся именно теперь тесно и дружески сойтись с Аркадием, а
выходит, что я остался назади, он ушел вперед, и понять мы друг друга не можем.
– Да почему он ушел вперед? И чем он от нас так уж очень отличается? – с нетерпением воскликнул
Павел Петрович. – Это все ему в голову синьор этот вбил, нигилист этот. Ненавижу я этого лекаришку;
по-моему, он просто шарлатан; я уверен, что со всеми своими лягушками он и в физике недалеко
ушел.
– Нет, брат, ты этого не говори: Базаров умен и знающ.
– И самолюбие какое противное, – перебил опять Павел Петрович.
– Да, – заметил Николай Петрович, – он самолюбив. Но без этого, видно, нельзя; только вот чего я в
толк не возьму. Кажется, я все делаю, чтобы не отстать от века: крестьян устроил, ферму завел, так
что даже меня во всей губернии красным величают; читаю, учусь, вообще стараюсь стать в уровень с
современными требованиями, – а они говорят, что песенка моя спета. Да что, брат, я сам начинаю

---

мне случайно, что оно не вызвано тем самым народным духом, во имя которого вы так ратуете?
– Как же! Очень нужны нигилисты!
– Нужны ли они или нет – не нам решать. Ведь и вы считаете себя не бесполезным.
– Господа, господа, пожалуйста, без личностей! – воскликнул Николай Петрович и приподнялся.
Павел Петрович улыбнулся и, положив руку на плечо брату, заставил его снова сесть.
– Не беспокойся, – промолвил он. – Я не позабудусь именно вследствие того чувства достоинства, над
которым так жестоко трунит господин… господин доктор. Позвольте, – продолжал он, обращаясь
снова к Базарову, – вы, может быть, думаете, что ваше учение новость? Напрасно вы это воображаете.
Материализм, который вы проповедуете, был уже не раз в ходу и всегда оказывался
несостоятельным…
– Опять иностранное слово! – перебил Базаров. Он начинал злиться, и лицо его приняло какой-то
медный и грубый цвет. – Во-первых, мы ничего не проповедуем; это не в наших привычках…
– Что же вы делаете?

---

– Я вас не понимаю после этого. Вы оскорбляете русский народ. Я не понимаю, как можно не
признавать принсипов, правил! В силу чего же вы действуете?
– Я уже говорил вам, дядюшка, что мы не признаём авторитетов, – вмешался Аркадий.
– Мы действуем в силу того, что мы признаём полезным, – промолвил Базаров. – В теперешнее время
полезнее всего отрицание – мы отрицаем.
– Все?
– Все.
– Как? не только искусство, поэзию… но и… страшно вымолвить…
– Все, – с невыразимым спокойствием повторил Базаров.
Павел Петрович уставился на него. Он этого не ожидал, а Аркадий даже покраснел от удовольствия.
– Однако позвольте, – заговорил Николай Петрович. – Вы все отрицаете, или, выражаясь точнее, вы
все разрушаете… Да ведь надобно же и строить.
– Это уже не наше дело… Сперва нужно место расчистить.
– Современное состояние народа этого требует, – с важностью прибавил Аркадий, – мы должны
исполнять эти требования, мы не имеем права предаваться удовлетворению личного эгоизма.

---

вставал очень рано и отправлялся версты за две, за три, не гулять – он прогулок без цели терпеть не
мог, – а собирать травы, насекомых. Иногда он брал с собой Аркадия. На возвратном пути у них
обыкновенно завязывался спор, и Аркадий обыкновенно оставался побежденным, хотя говорил больше
своего товарища.
Однажды они как-то долго замешкались; Николай Петрович вышел к ним навстречу в сад и,
поравнявшись с беседкой, вдруг услышал быстрые шаги и голоса обоих молодых людей. Они шли по ту
сторону беседки и не могли его видеть.
– Ты отца недостаточно знаешь, – говорил Аркадий.
Николай Петрович притаился.
– Твой отец добрый малый, – промолвил Базаров, – но он человек отставной, его песенка спета.
Николай Петрович приник ухом… Аркадий ничего не отвечал.
«Отставной человек» постоял минуты две неподвижно и медленно поплелся домой.
– Третьего дня, я смотрю, он Пушкина читает, – продолжал между тем Базаров. – Растолкуй ему,

---

однажды Павел Петрович пустился было в состязание с нигилистом по поводу модного в то время
вопроса о правах остзейских дворян, но сам вдруг остановился, промолвив с холодною вежливостью:
– Впрочем, мы друг друга понять не можем; я, по крайней мере, не имею чести вас понимать.
– Еще бы! – воскликнул Базаров. – Человек все в состоянии понять – и как трепещет эфир, и что на
солнце происходит; а как другой человек может иначе сморкаться, чем он сам сморкается, этого он
понять не в состоянии.
– Что, это остроумно? – проговорил вопросительно Павел Петрович и отошел в сторону.
Впрочем, он иногда просил позволения присутствовать при опытах Базарова, а раз даже приблизил
свое раздушенное и вымытое отличным снадобьем лицо к микроскопу, для того чтобы посмотреть, как
прозрачная инфузория глотала зеленую пылинку и хлопотливо пережевывала ее какими-то очень
проворными кулачками, находившимися у ней в горле. Гораздо чаще своего брата посещал Базарова","Николай Петрович с интересом относится к занятиям Базарова естественными науками. Он ценит его знания и даже просит помощи в агрономических работах, несмотря на то, что считает Базарова «нигилистом».",True,True,True
